	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
LIN_head	0	2.45578246129741	3.22487166821372	2.56435499229462	3.302810168489735	2.81820317270844	2.7475201345186098	3.757383921659955	2.67372536850153	3.0071803214120094	2.802116442419555	3.47306090604379	2.92865381840334	3.5673326136744796	2.32725652400141	3.068458182704555	3.327760117523695	3.4172290360515247	4.77027437922468	2.3477324383126303	3.85644830980632	3.899767962473545	3.0363069566596	3.5815295700690903	3.2082091358178997	3.0800115057991	3.5202936390238704	2.85364836630785	3.10317566054038	3.5252481783862204	3.7844496398992	2.79959037826155	3.442117744673645	2.908071592909925	3.4536171749947298	2.816239511722016	2.6714542640045846	3.09249480784148	3.058307227291745	2.7171073322466097	2.4636043358755	3.4573531509561497	3.334863406885465	2.816112076235	2.71726378690803	3.2241021376684507	3.47250201126746	3.232829919504965	2.8786796116048903	2.8652214725523697	3.08711899254647
MAS_head	2.89428687333834	0	2.30269108185255	2.7081820157291503	3.73052056602598	3.08113889857443	3.86152707332148	4.18560680342364	3.07014426631243	4.1332342460530445	4.54446214193474	4.26431596294176	3.36021908630602	4.55573525482121	2.8916016844491548	3.53802971200666	4.01091467936273	3.0526275706572648	4.37417586850892	2.4684925479445954	4.703301735202626	2.6110874843723146	3.0423492548090696	3.6689851971821	3.9010363265437	3.2259043224516946	2.8324948523046904	2.667142661919081	3.49715072757944	3.8503096603697298	3.8074000064425753	2.5716077770249104	3.2818401018524	2.8178720262962558	2.62155743102991	2.56019249518896	3.2905825626239	3.96565490993721	3.67148877922414	2.71680760359657	2.6946844022680447	3.311278540083105	3.6833435265563295	2.39462216772408	2.74699661193798	4.07755847651248	3.60053437649406	2.58808904716368	2.75843357863215	2.638175501852005	2.9204234277155603
BB_forelimb	2.9249458525159246	3.256863785605049	0	2.6197321534153653	5.63752356450546	2.72620562074062	2.52936213179811	6.98542256117863	0.0	3.9502091023147945	2.9483017244907748	5.036477205507441	0.0	7.267004737542575	0.0	7.75254645924026	6.75287707316759	4.28720793059553	3.3083169462539703	4.230624198224721	6.908727732206595	3.23775846424025	5.564005535272057	3.5224293392845154	3.7081599524012248	5.067471587347125	0.0	2.98200409261203	3.71003431367536	5.402265695120236	4.00687320524547	2.8095342693149603	4.0758351630558805	3.043179521769805	4.1022476942418855	2.74847910092231	4.49641579333944	3.7015578778837	4.773046652169381	5.05867494674483	2.70928104189976	4.08717207119806	6.429121827285265	2.877841735416	2.6120552100838896	3.9057790507416703	5.20891203051917	3.03862687854595	2.9290559519914847	2.55674207870721	2.85137828169496
DAP_forelimb	1.96410817221826	1.719600127838695	1.6226341280520602	0	0.0	2.35917208665565	1.81017269489004	0.0	2.39577195118876	3.15244929062486	2.9748834871439507	0.0	2.081724873536455	0.0	2.6954993382792902	0.0	0.0	1.9756028083785504	2.49344233590494	1.63762854979018	0.0	1.9896431764073848	2.290378271496975	2.21852486422239	2.18085480033236	1.7424064447913403	1.8766313838093105	4.385830832057505	3.32641077172945	4.07350481718024	3.1487236730024097	3.2708505243665296	2.48401425015326	2.853132757692955	1.892445724216735	3.82832799613086	1.8821776978336902	4.54443341728661	4.36561179175785	2.6367633483094446	1.82014139034125	2.7150650657007005	4.9898708519467805	4.08674448229102	3.19516197620367	4.33804012068752	3.613587678472495	2.1802821595104698	2.1889719586327	2.0664218825301	2.184754645594725
DSP_forelimb	2.42038773864578	2.328419761277656	2.16298695574929	0.0	0	4.135585632197725	2.29632982814931	0.0	2.82238369451234	0.0	3.2616198347849306	0.0	1.9235596595823097	0.0	2.28267297687613	0.0	0.0	2.7855982445413403	4.21440642239747	1.773306510994625	0.0	2.9190381874215903	4.325670749439475	2.7969947510340605	0.0	1.9170446404902897	2.64912696605677	3.0867043161174648	3.9837223875150096	3.383819156689729	3.32743433892237	3.6110801673977853	2.9747774129082902	2.7320949795363747	2.84328977825082	3.14032572306212	3.13303077320678	2.8364018559206245	5.087058652039	2.8665715120858146	3.08750041099469	3.15010742634343	5.3461905630408255	3.09425754067622	3.3452750786055248	3.88282028011077	3.4035835105550896	2.5300090130368096	2.36154955771446	2.31987267890281	2.5026521251240497
EDC_forelimb	2.168148026189555	2.50288965389371	1.94877591136846	2.89455953824102	3.28369679465626	0	0.0	0.0	2.4815255558600353	2.80725233088491	2.6230912970298053	2.68771124833572	2.33342335440688	0.0	0.0	2.8984111431262147	2.64816103190187	2.5379393132966297	2.70531912658562	1.80261602820168	3.2826168177117996	2.4408661156838654	2.51575345099787	2.4040223068148947	2.7026192084142	2.2809204899597053	2.1378352746153997	2.71879348141486	2.54619568454888	0.0	3.1025964788774	0.0	2.0777607538246	0.0	2.13560972042495	2.7085454792264247	1.95986784644022	3.8456429229076896	2.5786385944079253	2.1498924528174648	1.7818715356111599	2.05547735399678	3.17308810527885	0.0	0.0	2.295004306906635	0.0	2.35348676873783	2.2730443712543704	2.103859673418385	2.2140251914886098
EDL-F_forelimb	2.1675683283498897	2.62021885059792	3.07383770290988	2.549210526072295	2.8923456238370098	0.0	0	0.0	0.0	2.8571657168512004	2.85049629540304	2.80873110642988	2.65830995653722	2.9181064096233897	0.0	2.9886061777422404	2.195563516865605	2.4925638230242	3.57810756565347	2.08318767616576	3.44672357239331	3.05920923534148	2.81275653083736	2.69521461907236	3.15641092503902	2.2539616638561446	3.1035708911420854	3.4764336960276347	3.3807149229477345	4.21219237725918	4.343503046238864	6.5670856391695	2.30118335985806	3.4615653523777503	2.531873734635755	3.6888460273622994	2.55520460933114	5.448455762414085	3.6107163367716653	2.57900113842664	1.8295189528124	2.75416457659944	3.1832061330143304	4.79830086758871	5.065349314858565	3.15798987175121	4.07876829586889	2.54324636830719	2.380748292652	2.2012932780137	2.19476848927151
FDP-F_forelimb	2.6893443110337456	2.82747464173342	3.9895568358006095	0.0	3.0162501274477296	0.0	0.0	0	0.0	0.0	3.37671705369793	0.0	4.09152021526695	0.0	0.0	0.0	3.06601827354098	2.8354621831858	3.99482015540672	3.4042413570183903	3.8745267329997097	2.8046245952085096	3.9521605943709694	3.3986643621000647	4.27852095681952	3.947624787082925	3.6964872699004303	2.8615783664534	2.7850375744686	4.986776336734575	2.83641545173868	6.0932480088393985	3.0461821387179304	3.94344164223234	2.885003784265465	4.597639698429585	2.22850346083748	6.4751873245938	4.03601995367642	2.814610300088315	3.0058280658470498	3.4263808662707147	3.637234555789455	3.52089044276196	6.52577715314365	6.524565936765209	2.6200496404858904	2.6207703289888302	2.3235598398534103	2.21166291992074	2.4934861769497902
FDS-F_forelimb	3.18837603418015	2.153875378463245	2.34572885313483	2.6150155957691097	3.80230408746965	6.92171653031803	6.14333555142413	6.64552018898731	0	5.29544808501488	3.24513436354051	5.79147318504161	3.9930947082302897	8.21557402182424	0.0	6.3048534644178	4.8761574116798565	2.94397777812451	4.93228550771507	4.03261432902516	6.266925918956554	3.7327991080887903	3.8379175816311903	3.11427924580959	5.050699206106505	4.189608095534355	2.4262707792966403	2.7892525858912003	4.72422157804993	5.1629532315560045	3.97180574938985	3.0927187642125697	4.396103625817164	2.8170990566852496	4.11825240700397	2.775619490406115	3.40145223163286	6.14777106383211	5.26703966964576	4.60716552547009	3.1414753728433595	4.29654458004915	4.1113729729453	2.67076069413618	2.79826825656269	6.130201335262541	5.46098207102834	2.7142726395250003	2.5131256864083253	2.50789894130442	2.724911255633115
ISP_forelimb	2.32573294398735	2.17825589361197	1.92393703222302	3.66492708217066	4.0442495983404605	0.0	2.42529530060606	2.12511997231928	2.15121282582986	0	0.0	0.0	1.9098175751840705	2.92377102404581	0.0	0.0	4.6973374339698	3.5013609401819403	3.078810969365545	2.345893799532135	4.481605727856495	2.81469857163745	2.28028173076494	4.5343436335055705	3.5985848397598	2.1849645475364547	2.83108721324014	3.5034057116221	3.6229325033961497	3.45383176011186	5.74925966065458	3.4055901331187246	3.44152776610143	2.3069699945276696	2.12693870042932	2.8248560432026406	2.073972318803595	6.94238125350557	3.49950664767876	2.255718969317195	2.3036751222796097	4.412299724597094	2.3983486902809448	3.5308927619457595	6.97829279444587	3.35605284727861	5.090584377007804	2.3883015671080847	2.3375478222893946	2.134169304636275	2.26321732941131
