	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
LIN_head	0	21	21	102	70	70	62	44	23	56	54	45	23	36	19	58	48	30	37	40	37	28	31	23	68	27	29	129	71	59	81	125	22	128	31	112	26	57	76	33	26	22	78	145	108	57	40	108	112	103	107
MAS_head	18	0	11	77	39	39	24	36	12	24	19	29	13	19	6	35	31	18	17	24	26	26	21	12	41	18	16	126	57	32	56	114	15	114	27	99	16	33	43	19	22	14	61	145	84	32	28	144	127	140	115
BB_forelimb	16	9	0	72	15	24	13	6	0	16	18	16	0	6	0	7	10	1	6	7	10	5	6	2	32	4	0	93	33	8	55	85	5	100	6	71	2	25	16	3	7	4	14	109	72	21	9	131	140	132	129
DAP_forelimb	69	22	6	0	0	1	1	0	5	1	11	0	6	0	1	0	0	13	13	19	0	14	12	9	3	19	11	4	9	5	9	8	17	16	24	1	10	1	3	14	21	9	3	7	3	4	4	186	195	184	184
DSP_forelimb	25	10	1	0	0	2	1	0	1	0	7	0	4	0	1	0	0	2	5	10	0	4	6	2	0	7	1	6	8	5	17	6	11	18	10	3	8	2	2	10	10	5	2	6	2	3	6	132	163	149	147
EDC_forelimb	42	21	4	3	3	0	0	0	2	1	6	2	3	0	0	2	3	12	12	13	2	12	11	8	5	10	6	4	7	0	1	0	3	0	11	2	19	1	6	10	8	5	6	0	0	4	0	173	189	188	181
EDL-F_forelimb	36	14	4	2	2	0	0	0	0	1	7	2	3	1	0	2	2	15	10	21	2	13	13	7	7	16	8	8	8	3	2	1	8	6	18	6	19	2	6	15	11	9	7	3	2	7	3	145	173	167	170
FDP-F_forelimb	24	17	2	0	1	0	0	0	0	0	6	0	2	0	0	0	1	7	6	9	2	7	7	4	1	8	3	5	7	2	3	1	7	5	10	2	10	1	3	8	8	4	4	5	1	1	3	149	171	166	153
FDS-F_forelimb	18	8	1	55	19	6	8	7	0	9	20	10	1	2	0	10	18	4	6	8	10	5	9	5	22	6	3	93	31	4	49	81	4	105	7	66	4	13	21	5	5	2	26	104	71	13	11	130	140	128	130
ISP_forelimb	33	11	1	1	1	0	1	1	3	0	0	0	1	1	0	0	1	5	6	8	2	7	7	3	3	8	5	3	5	5	3	4	4	6	11	3	6	1	5	10	9	4	8	5	1	3	2	166	164	176	165
