	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum	0	198	273	308	264	285	176	229	269	281	250	300	348	307	299	271	937	255	260	284	332	305	245	296	229	287	250	272	285	262	297	263	240	268
Cerebellum	220	0	263	305	254	269	178	270	281	301	273	297	337	299	312	286	951	288	264	299	328	313	274	298	250	294	273	254	286	242	280	261	228	268
Retina	484	539	0	474	339	455	224	364	407	427	386	467	500	554	431	362	1056	453	434	521	546	478	391	491	352	438	374	343	429	323	393	399	243	259
Colon	506	444	417	0	216	54	66	261	265	266	254	285	190	121	228	234	993	243	219	259	288	240	201	253	199	271	235	235	256	244	284	236	200	217
Liver	605	580	472	293	0	223	160	311	270	337	278	289	328	340	370	357	1075	317	299	371	376	310	272	322	246	322	289	263	321	259	309	292	258	282
Small_Intestine	499	431	408	66	196	0	55	267	261	288	250	259	188	141	222	236	996	252	236	275	305	244	211	252	203	254	238	234	253	226	250	236	203	230
Stomach	340	283	264	36	135	43	0	144	173	136	160	138	115	107	154	138	865	106	103	126	132	95	101	97	120	151	137	151	174	152	156	133	138	151
Left_Atrium	436	429	364	221	189	193	117	0	40	5	34	253	223	231	142	153	1013	152	137	177	169	119	97	81	80	118	94	101	131	103	113	112	205	249
Left_Ventricle	514	495	420	278	256	248	150	72	0	72	0	314	289	329	265	296	1048	223	214	253	288	193	175	167	101	165	154	148	163	127	143	132	247	274
Right_Atrium	461	439	386	222	196	191	124	8	50	0	49	261	223	247	194	223	1021	151	132	175	178	121	103	85	90	139	129	143	165	144	156	129	212	255
Right_Ventricle	542	490	415	274	232	251	157	67	0	62	0	306	293	350	278	298	1053	219	224	249	286	193	173	154	95	141	142	149	163	140	146	126	251	278
Kidney	484	441	384	206	179	173	103	259	233	269	229	0	263	250	235	232	998	256	222	269	297	260	213	276	191	255	234	228	252	212	238	209	218	230
Lung	481	433	380	116	200	111	90	212	229	218	209	256	0	99	146	173	974	190	185	229	222	154	147	176	164	221	183	198	222	196	221	199	190	209
Spleen	443	378	350	136	198	118	105	232	229	252	219	265	161	0	200	230	926	202	202	228	239	202	179	196	177	198	190	207	211	192	216	197	200	233
Ovary	368	337	301	142	171	115	92	152	183	167	174	196	143	137	0	76	889	118	128	163	135	110	88	99	123	170	142	179	182	170	195	177	172	196
Uterus	405	371	319	151	182	138	95	157	199	178	193	199	158	192	79	0	918	145	148	185	187	131	116	131	133	191	156	188	206	169	199	180	194	192
Testis	463	470	333	345	262	305	190	329	333	370	330	377	414	420	412	378	0	344	343	375	415	370	339	389	296	354	326	329	352	308	367	334	219	272
ASA	462	424	389	194	189	188	114	167	206	170	190	245	204	199	142	148	1005	0	0	0	49	14	2	67	135	197	152	162	182	161	192	178	205	228
ILB	481	447	402	216	198	208	135	172	210	193	190	262	234	244	233	221	1039	1	0	0	58	20	2	61	137	200	156	184	222	195	215	183	233	257
ULB	469	445	399	220	204	212	121	186	227	189	211	255	230	251	221	223	1010	4	0	0	61	22	5	61	145	202	159	177	217	195	213	176	226	252
GOM	456	393	363	166	193	159	102	161	203	169	183	230	186	189	163	175	982	29	19	33	0	10	9	73	141	192	161	184	218	172	192	166	197	211
MAD	440	414	357	165	171	146	103	153	177	139	164	229	155	146	113	130	988	19	10	15	20	0	3	28	111	165	119	138	166	147	158	153	188	205
RAD	428	396	359	158	161	139	113	149	171	138	158	218	172	159	96	140	974	5	3	2	25	3	0	25	101	148	105	134	158	137	148	151	197	209
PAD	401	397	353	177	176	163	107	114	131	85	124	221	166	163	98	124	975	41	25	31	61	19	15	0	95	155	108	127	148	130	139	138	192	215
LIN	491	488	409	223	203	197	121	119	117	116	108	287	219	242	158	175	1026	125	124	172	200	120	78	120	0	28	36	36	38	43	46	40	224	240
MAS	448	407	382	202	200	186	132	131	109	118	102	260	214	218	159	190	964	162	155	173	191	146	103	132	15	0	12	18	14	22	17	18	211	242
RHO	458	436	377	206	196	190	125	124	123	115	118	276	194	204	157	168	989	82	86	117	133	64	42	60	21	15	0	2	4	1	5	10	214	238
TA	546	514	431	287	252	272	167	159	147	174	149	340	302	331	283	304	1063	194	190	212	259	179	132	161	30	17	0	0	6	1	4	9	266	274
GAS-L	478	431	412	235	221	200	148	147	143	148	137	298	249	261	235	264	991	169	183	210	246	156	144	160	20	18	1	2	0	0	5	3	236	271
GM	543	547	432	281	236	280	174	159	162	175	150	349	289	354	317	293	1065	176	191	228	282	163	113	163	28	39	1	4	1	0	3	6	260	290
PM	480	446	392	240	204	210	143	138	133	153	115	284	257	254	245	259	999	173	168	201	234	154	138	151	19	17	4	2	5	1	0	4	239	273
SOL	531	513	434	271	237	246	160	171	160	160	151	334	272	296	269	277	1052	189	194	224	258	167	145	181	30	29	10	10	9	9	7	0	238	271
PIEC	633	575	422	367	319	338	235	389	370	443	367	435	443	473	536	463	1025	381	411	445	499	429	401	449	346	379	370	357	388	346	381	338	0	108
PK15	500	449	325	273	239	224	152	303	311	325	306	279	330	325	321	339	924	275	286	318	349	290	283	326	260	298	298	286	308	269	300	272	51	0
