diff_num	tissue	gene_biotype	group_id
569	BF	TUCP	BF_hindlimb
568	SUB	TUCP	SUB_forelimb
554	BB	TUCP	BB_forelimb
651	LIN	TUCP	LIN_head
596	ISP	TUCP	ISP_forelimb
1053	Left_Ventricle	TUCP	Left_Ventricle
653	SSP	TUCP	SSP_forelimb
879	Left_Atrium	TUCP	Left_Atrium
596	VL	TUCP	VL_hindlimb
855	TIC	TUCP	TIC_hindlimb
573	PS	TUCP	PS_trunk
569	LD	TUCP	LD_trunk
754	SOL	TUCP	SOL_hindlimb
487	LDM	TUCP	LDM_trunk
555	RF	TUCP	RF_hindlimb
605	EDL-H	TUCP	EDL-H_hindlimb
716	DAP	TUCP	DAP_forelimb
597	RA	TUCP	RA_trunk
618	SAR	TUCP	SAR_hindlimb
606	EDL-F	TUCP	EDL-F_forelimb
715	PM	TUCP	PM_hindlimb
674	SM	TUCP	SM_hindlimb
626	TFL	TUCP	TFL_hindlimb
710	VI	TUCP	VI_hindlimb
577	TRC	TUCP	TRC_trunk
1089	Right_Atrium	TUCP	Right_Atrium
475	TB-M	TUCP	TB-M_forelimb
506	PP	TUCP	PP_trunk
574	DSP	TUCP	DSP_forelimb
594	VM	TUCP	VM_hindlimb
585	TB-LO	TUCP	TB-LO_forelimb
575	FDP-F	TUCP	FDP-F_forelimb
735	GRA	TUCP	GRA_hindlimb
547	FDS-F	TUCP	FDS-F_forelimb
663	GM	TUCP	GM_hindlimb
592	FDP-H	TUCP	FDP-H_hindlimb
608	TB-LA	TUCP	TB-LA_forelimb
639	EDC	TUCP	EDC_forelimb
637	MAS	TUCP	MAS_head
813	GAS-M	TUCP	GAS-M_hindlimb
680	GAS-L	TUCP	GAS-L_hindlimb
637	SP	TUCP	SP_trunk
785	ADD	TUCP	ADD_hindlimb
568	ST	TUCP	ST_hindlimb
555	TM	TUCP	TM_forelimb
728	FDS-H	TUCP	FDS-H_hindlimb
531	RHO	TUCP	RHO_trunk
1051	Right_Ventricle	TUCP	Right_Ventricle
707	OEA	TUCP	OEA_trunk
716	TA	TUCP	TA_trunk
554	BRA	TUCP	BRA_trunk
