gene_biotype	detected_number	all	undetected_number	detect_rate	cutoff	tissue
TUCP	1207.000	2443	1236.000	0.494	0.100	ASA
lncRNA	9835.000	19112	9277.000	0.515	0.100	ASA
protein_coding	15166.000	22452	7286.000	0.675	0.100	ASA
TUCP	1583.000	2443	860.000	0.648	0.100	Cerebellum
lncRNA	12489.000	19112	6623.000	0.653	0.100	Cerebellum
protein_coding	16493.000	22452	5959.000	0.735	0.100	Cerebellum
TUCP	1635.000	2443	808.000	0.669	0.100	Cerebrum
lncRNA	13000.000	19112	6112.000	0.680	0.100	Cerebrum
protein_coding	16808.000	22452	5644.000	0.749	0.100	Cerebrum
TUCP	1322.000	2443	1121.000	0.541	0.100	Colon
lncRNA	10707.000	19112	8405.000	0.560	0.100	Colon
protein_coding	16242.000	22452	6210.000	0.723	0.100	Colon
TUCP	1305.000	2443	1138.000	0.534	0.100	GAS-L
lncRNA	10638.000	19112	8474.000	0.557	0.100	GAS-L
protein_coding	15609.000	22452	6843.000	0.695	0.100	GAS-L
TUCP	913.000	2443	1530.000	0.374	0.100	GM
lncRNA	7659.000	19112	11453.000	0.401	0.100	GM
protein_coding	14465.000	22452	7987.000	0.644	0.100	GM
TUCP	1417.000	2443	1026.000	0.580	0.100	GOM
lncRNA	11343.000	19112	7769.000	0.594	0.100	GOM
protein_coding	15817.000	22452	6635.000	0.704	0.100	GOM
TUCP	1348.000	2443	1095.000	0.552	0.100	ILB
lncRNA	10998.000	19112	8114.000	0.575	0.100	ILB
protein_coding	15573.000	22452	6879.000	0.694	0.100	ILB
TUCP	1119.000	2443	1324.000	0.458	0.100	Kidney
lncRNA	9405.000	19112	9707.000	0.492	0.100	Kidney
protein_coding	15649.000	22452	6803.000	0.697	0.100	Kidney
TUCP	909.000	2443	1534.000	0.372	0.100	LIN
lncRNA	7418.000	19112	11694.000	0.388	0.100	LIN
protein_coding	14874.000	22452	7578.000	0.662	0.100	LIN
TUCP	915.000	2443	1528.000	0.375	0.100	Left_Atrium
lncRNA	7554.000	19112	11558.000	0.395	0.100	Left_Atrium
protein_coding	14468.000	22452	7984.000	0.644	0.100	Left_Atrium
TUCP	933.000	2443	1510.000	0.382	0.100	Left_Ventricle
lncRNA	8001.000	19112	11111.000	0.419	0.100	Left_Ventricle
protein_coding	14567.000	22452	7885.000	0.649	0.100	Left_Ventricle
TUCP	770.000	2443	1673.000	0.315	0.100	Liver
lncRNA	6701.000	19112	12411.000	0.351	0.100	Liver
protein_coding	14214.000	22452	8238.000	0.633	0.100	Liver
TUCP	1207.000	2443	1236.000	0.494	0.100	Lung
lncRNA	9555.000	19112	9557.000	0.500	0.100	Lung
protein_coding	16027.000	22452	6425.000	0.714	0.100	Lung
TUCP	1099.000	2443	1344.000	0.450	0.100	MAD
lncRNA	8792.000	19112	10320.000	0.460	0.100	MAD
protein_coding	15041.000	22452	7411.000	0.670	0.100	MAD
TUCP	1274.000	2443	1169.000	0.521	0.100	MAS
lncRNA	10255.000	19112	8857.000	0.537	0.100	MAS
protein_coding	15328.000	22452	7124.000	0.683	0.100	MAS
TUCP	1397.000	2443	1046.000	0.572	0.100	Ovary
lncRNA	11198.000	19112	7914.000	0.586	0.100	Ovary
protein_coding	16720.000	22452	5732.000	0.745	0.100	Ovary
TUCP	1200.000	2443	1243.000	0.491	0.100	PAD
lncRNA	9721.000	19112	9391.000	0.509	0.100	PAD
protein_coding	15423.000	22452	7029.000	0.687	0.100	PAD
TUCP	874.000	2443	1569.000	0.358	0.100	PIEC
lncRNA	6730.000	19112	12382.000	0.352	0.100	PIEC
protein_coding	12882.000	22452	9570.000	0.574	0.100	PIEC
TUCP	1134.000	2443	1309.000	0.464	0.100	PK15
lncRNA	8476.000	19112	10636.000	0.443	0.100	PK15
protein_coding	13873.000	22452	8579.000	0.618	0.100	PK15
TUCP	1314.000	2443	1129.000	0.538	0.100	PM
lncRNA	10393.000	19112	8719.000	0.544	0.100	PM
protein_coding	15245.000	22452	7207.000	0.679	0.100	PM
TUCP	1211.000	2443	1232.000	0.496	0.100	RAD
lncRNA	9790.000	19112	9322.000	0.512	0.100	RAD
protein_coding	15381.000	22452	7071.000	0.685	0.100	RAD
TUCP	856.000	2443	1587.000	0.350	0.100	RHO
lncRNA	7122.000	19112	11990.000	0.373	0.100	RHO
protein_coding	14324.000	22452	8128.000	0.638	0.100	RHO
