	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum		1.6414909290652901	2.2482526355327903	2.2964638393399897	2.56341895824337	2.3968755925805096	2.58564989334329	2.5853544841486897	2.66005181048005	2.50137307180688	2.552570588670445	2.2820645695635298	2.423971281871315	2.3089666913636	2.5063452872912597	2.4149860375998102	4.11818058898605	2.3884864004426802	2.287411220538865	2.233942570656785	2.1291630601632	2.37240595421344	2.42034999634015	2.31510868040775	2.6094592200802404	2.5774494827795897	2.6311214541244103	2.4051940766796003	2.46170145054181	2.4739908470891496	2.32979806201037	2.5809177411996003	3.1972427881374745	2.87510936002518
Cerebellum	1.97116878735725		2.2704143786402002	2.3574974702670097	2.885228128912505	2.41226231579201	3.007796536948505	2.563901605923355	2.68839051615561	2.51809893927279	2.66649829400769	2.29228329422543	2.53410252818866	2.39744703497515	2.5384558354294846	2.4569261024685547	4.046460724209609	2.4826555718648002	2.37564792747686	2.32891939907647	2.378323761721555	2.4224409898670496	2.442464363021495	2.2964589383401	2.643216943841845	2.469717449212725	2.42957785975982	2.5676469305479204	2.3729247995633003	2.503258655294675	2.3253412053322497	2.46657875073466	3.5456839864258702	3.13450765572067
Retina	2.307606482571655	2.10120606493129		2.5957555478428302	2.9822507872735695	2.50820920059232	3.233602985723555	2.74864513482623	2.8143939882218	2.7983310236323304	2.8266545601648954	2.48728343966493	2.659386703643695	2.469373658974685	3.0102550192346604	2.823260949814735	4.493163730252165	2.44839154544543	2.45083416489289	2.36737328991771	2.37736337891981	2.590597744426845	2.66164836246129	2.4051887011188597	2.911285162579245	2.667916781207155	2.8370771718165653	2.81785158293519	2.6342788771339705	2.8677495108200497	2.5976156273146698	2.5863389846665	3.7291832105031197	3.65289032249859
Colon	2.51192176779248	2.2918132983744353	2.4010228933786095		2.3880551831929298	2.1458354817296748	2.658148791033465	2.16007508385874	2.29598531790712	2.167278651477775	2.215890123022295	2.13085973832284	2.202785067107695	1.8699874536124599	2.45453610529977	2.19961830257974	3.97903259956407	1.9848058534022701	2.00934432737779	1.9848210374492699	1.780471588959565	1.8828661354242349	1.93842282048397	1.8474400770029598	2.3127810546953	2.21728983079521	2.25262981335273	2.2111132807657596	2.144798220107405	2.29568294395093	2.07499915466172	2.157601733020715	3.15857807466879	3.0068864973705502
Liver	2.88434546531494	2.42647687626549	2.83264072228057	2.03003546444384		2.1190148234786	2.759444539344485	2.55673293334199	2.7926092046182847	2.3213606683793397	2.6358454070047603	2.2943347444948996	2.20721657943069	2.096586523571645	2.7577214850523255	2.4783960181483997	4.21085086424526	2.13331481462152	2.15449974490684	2.15828402431517	2.1643328316868997	2.33969968270379	2.4446292789946247	2.242187821389725	2.7123046228379204	2.402444261885025	2.56214625814499	2.57283382520743	2.41601202751636	2.57004573355168	2.40203662865447	2.40995107644558	3.20236499405588	3.485230371243945
Small_Intestine	2.47995011176886	2.3669689355386603	2.404820866559305	1.76253731844213	2.380617517261835		2.35245931833094	2.12664641876369	2.22964329884458	2.1033996016247603	2.20629239479644	1.9661798544265199	2.16360253594728	1.8081486519825603	2.3471500237586547	2.16502720432129	3.8762982260831453	1.9056822170524699	1.961080701874875	1.97775551254296	1.8277539199324297	2.02524957094424	2.1353454506552803	1.9338720162833698	2.15483224831861	2.3598002202731	2.322883247949	2.37030140336822	2.1634210609314	2.28535330443989	2.291561220701625	2.1102751923797003	3.09576512551715	3.090838305422825
Stomach	3.617051067945375	3.19927529447703	3.347065066000745	3.6132077015048147	3.83000728529375	3.06612934443481		3.6284443153737804	3.59859789120063	3.43578049434948	3.4429596600952754	3.50599614822376	3.44514471115198	3.20948223935166	3.835776667883195	3.64889193517631	5.7816472140379	3.0735333419770856	2.84450376139382	2.83270378057616	2.88400511847518	3.03108978736019	2.97369063567761	3.2091501187004603	3.3969118923557304	3.67574787951022	3.69325140430201	3.4808215026158	3.736903839597095	3.639208817595425	3.6334548258178403	3.51850034987468	4.44443075794715	3.88352992644114
Left_Atrium	2.977839207887955	2.3535886686097998	2.617914289515885	2.19769905151972	3.08250607094145	2.51529343845966	3.4393731969639303		2.232012798125745	2.1447924319336598	2.1062232202798	2.34096438605463	2.6720379271161097	2.2759976689586203	3.666547673707005	3.3802192901803303	4.327871171104411	1.98920517607196	2.04370184857889	1.94371515834467	1.9266950168028798	2.0535859425914897	2.37080352815881	1.95272505277628	2.91533526223353	2.6931041510621903	2.9669556726024746	2.98834345738643	2.58268235594094	2.9601577642825	2.8941520858102296	2.379600215833235	3.514416095543	3.28407201909887
Left_Ventricle	2.4912991295886053	2.11480832749147	2.470723693262605	2.173369684502175	2.417507931107865	1.9622341492892148	2.9013904343262498	2.051024454237995		1.9906007864756299	0	2.176497303761105	2.26280125223223	1.9209332575816598	2.48210931419619	2.1280716886168447	4.09452249970156	1.8730327680356202	2.007873575413325	1.8466770323638502	1.78955222095712	1.9310329841204399	1.9843689987801498	1.8492064457733401	2.27644274481486	2.1064389575782703	2.143742506870355	2.10476746171606	2.18116228642599	2.37498307545925	2.2491950083519705	2.182594642063205	3.1068538096670895	3.0107163004289603
Right_Atrium	2.44739869340074	2.19512303118535	2.378095183213175	2.11615386692051	2.7794395411507047	2.24698225913749	2.869315692250825	1.5994042897887302	1.75626250039479		1.61865039871398	2.26044536679142	2.38444644427654	2.0323531684209297	3.00363670800649	2.70306566569244	4.1034205286050405	1.8565183696804601	1.9176134385685402	1.8269082663718799	1.7472042922763151	1.90038723595476	2.04945458234335	1.74139502145888	2.470590512056085	2.3015945642038904	2.5570791924589704	2.3912565446996	2.27087711902272	2.4454353495815946	2.03032863594267	2.31019257735596	3.2431881194832552	2.9075548182021804
