	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum	0	903	1371	390	756	423	88	556	618	644	632	642	620	786	368	263	621	153	173	256	371	293	243	277	315	290	527	603	508	632	537	481	126	30
Cerebellum	380	0	1157	377	866	462	105	790	838	842	787	659	685	951	408	333	603	215	188	298	430	379	293	383	342	302	553	596	517	725	608	511	83	25
Retina	615	1264	0	197	550	198	52	637	527	544	540	354	340	479	200	155	314	128	120	196	239	198	216	210	202	202	364	326	294	428	325	313	29	9
Colon	1290	2864	1576	0	411	12	19	487	560	571	537	224	33	44	49	53	531	31	41	71	63	40	55	77	107	126	260	293	240	369	283	213	39	9
Liver	1636	3682	1834	130	0	122	59	811	812	817	736	295	288	363	227	206	638	90	95	154	226	183	144	201	226	207	377	376	345	509	409	372	107	20
Small_Intestine	1328	3121	1310	3	373	0	20	506	559	554	535	191	40	48	66	66	471	32	46	69	94	49	60	81	126	116	220	281	233	340	280	191	26	11
Stomach	199	413	262	1	91	2	0	117	154	128	134	49	3	19	13	21	112	7	14	19	13	18	18	17	31	44	74	102	69	73	65	49	2	2
Left_Atrium	767	1769	1153	58	437	91	31	0	33	0	21	275	136	277	62	79	359	28	23	46	59	40	51	23	62	73	172	186	119	245	194	110	38	13
Left_Ventricle	1189	2800	1358	128	572	158	65	90	0	68	0	400	244	380	193	166	604	61	58	94	124	101	81	55	49	67	181	207	168	275	186	123	85	21
Right_Atrium	972	2294	1337	89	513	118	49	0	29	0	19	293	147	261	105	120	542	36	32	57	59	51	54	22	53	83	198	210	181	304	227	176	57	17
Right_Ventricle	1114	2720	1412	122	529	145	65	71	0	51	0	336	195	325	168	145	506	38	48	76	115	81	72	38	41	59	177	196	152	249	168	117	91	21
Kidney	1294	2804	1488	64	391	67	30	618	602	604	562	0	111	208	96	97	634	48	53	88	104	82	64	105	150	141	290	339	269	397	335	237	46	18
Lung	1387	2940	1261	17	433	29	19	561	625	596	622	207	0	34	29	63	541	27	44	56	55	29	50	73	118	135	280	281	221	379	298	197	41	12
Spleen	1494	3273	1602	40	533	55	55	727	796	802	750	327	70	0	121	135	593	54	61	97	139	113	106	151	167	188	352	350	298	423	331	255	53	10
Ovary	998	2764	1051	27	419	42	23	449	512	492	501	179	51	107	0	30	430	24	41	56	51	36	39	49	125	115	240	300	231	358	292	199	46	13
Uterus	965	2363	953	12	397	41	24	414	476	441	471	169	68	156	15	0	375	19	35	42	57	30	39	42	91	91	216	241	216	322	254	174	31	13
Testis	1653	2852	1833	427	857	383	109	948	1066	1033	1058	746	692	839	595	331	0	166	211	310	491	386	364	472	471	323	599	661	564	794	677	591	28	13
ASA	980	1580	999	42	433	45	24	492	490	422	427	210	41	102	36	48	383	0	0	0	0	0	0	10	116	88	206	208	159	302	202	153	25	12
ILB	1074	1961	1476	28	356	48	37	412	449	463	438	205	46	95	45	63	415	0	0	0	0	0	0	13	85	61	177	208	180	289	239	138	50	17
ULB	1263	2303	1698	64	478	78	41	530	536	504	506	276	65	168	56	99	555	1	0	0	0	1	0	17	103	96	200	265	208	348	268	169	44	15
GOM	1109	2714	1433	41	450	60	40	489	505	509	483	234	50	133	39	64	532	1	0	1	0	0	0	20	107	104	222	272	223	330	273	191	61	18
MAD	866	1471	881	19	371	22	28	385	387	361	403	145	22	101	21	36	377	0	0	0	0	0	0	6	76	74	161	166	117	259	160	141	33	8
RAD	850	1503	1045	32	336	37	27	443	402	354	370	155	40	97	24	34	416	0	0	0	0	0	0	10	69	71	159	193	143	250	189	130	32	12
PAD	731	1460	945	32	343	37	24	169	157	142	149	151	49	122	24	35	380	2	1	4	1	0	1	0	49	48	136	116	92	230	138	91	30	13
LIN	1064	1574	1201	62	417	94	34	335	273	266	237	241	102	185	84	69	497	34	27	52	60	28	43	31	0	5	31	22	20	67	37	12	20	10
MAS	1067	1655	1137	67	455	83	36	419	337	345	288	278	131	226	94	93	423	20	26	52	62	32	47	39	1	0	3	2	0	18	2	0	34	14
RHO	1106	2195	1475	93	483	118	42	489	392	408	362	304	178	276	132	108	548	22	17	47	79	51	53	58	13	2	0	0	0	0	0	0	37	19
TA	1529	3554	1633	145	592	181	82	589	418	516	408	431	278	373	223	177	626	38	48	87	107	62	79	80	12	5	0	0	0	0	0	1	82	27
GAS-L	1446	3420	1558	127	612	169	75	496	439	513	408	376	199	308	180	167	607	29	46	65	102	50	65	43	10	1	0	0	0	0	0	0	83	26
GM	1616	3530	1986	143	604	174	67	562	528	578	458	437	244	330	254	199	702	50	61	107	147	113	89	90	18	4	0	1	0	0	0	0	80	46
PM	1556	3477	1519	144	597	157	82	614	457	506	405	402	219	289	229	170	562	33	63	92	112	65	81	74	6	0	1	2	0	0	0	0	82	47
SOL	1437	3240	2041	131	620	145	62	536	485	488	441	368	199	278	179	166	645	38	43	65	106	89	68	60	7	3	2	3	1	3	0	0	51	23
PIEC	314	631	346	55	176	57	6	246	239	221	246	145	108	186	105	53	79	48	47	59	100	73	75	83	60	80	147	165	150	206	199	118	0	0
PK15	170	425	277	54	195	45	2	230	164	157	180	116	79	143	95	64	31	32	49	69	102	83	82	101	60	93	156	190	159	241	223	125	3	0
