	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum		1.65032716556794	2.36062229691859	2.24178128031445	2.7834367563618	2.4434723734933153	2.92024344361945	2.48578892248164	2.4975500000916804	2.3811140690960295	2.5342384075554603	2.394137003283265	2.25219771669399	2.2026956653063348	2.47990243799461	2.43321343738756	4.084672495889845	2.24291581829908	2.18378049240417	2.10788128641435	2.0308073946620997	2.2809886864837003	2.29605956661098	2.33718287765057	2.578941974122185	2.4674544965202596	2.4745091733169353	2.414411842278765	2.472160462410045	2.47487932504827	2.2185933659481503	2.36384587951209	2.92787747380423	2.85786536902073
Cerebellum	2.17929078834651		2.39486108865227	2.4213638073323	2.7954460949012	2.49270717958306	3.0217634258514954	2.57839494013246	2.59695467824955	2.5322195529898797	2.5838783387363	2.5432826704799996	2.403557046271615	2.30081937294419	2.5121392379275402	2.5788429350589	4.07904243630363	2.3562290663500347	2.37803955696322	2.29204965960202	2.27629395216708	2.4259065575456202	2.3913048595010653	2.455717953340625	2.5799296542423704	2.4269719995094903	2.47554734407461	2.38396267011136	2.34671211255979	2.42222970795115	2.27577826263611	2.3622378641739203	3.11397223152076	3.100172419703325
Retina	2.46820760365848	2.11967750787535		2.6385290677209703	3.03184979705065	2.6771325767031002	3.1976951740918294	2.9076934549042006	2.86266570256497	2.8153311188662005	2.8536975454708498	2.767556409722615	2.68402848689903	2.5595146045114197	2.9554618459259703	3.03106508886486	4.4719931730363705	2.5624932103332396	2.6398487459049	2.5323891691831353	2.535031230567175	2.6641471930952347	2.8130691528224503	2.7174047913752952	2.867293070777105	2.77666854720249	2.850293502221925	2.813371318981555	2.77343686641949	2.8498160690402754	2.6687647175588904	2.64079772082855	3.594856374700375	3.3359108873557597
Colon	2.518139787716105	2.17875236991272	2.6082326129274502		2.62440655242545	2.41537020214829	3.21118365722269	2.3349269216438	2.42305798275456	2.3080406125121797	2.4177586257237698	2.3131968558838	2.1026169285420497	1.93707916594323	2.3331120891213804	2.39527515077447	3.86504311480122	1.95898868930814	1.9991877974641898	1.92589719045805	1.8561030218200099	1.93240702938931	2.007957984051405	2.05736465561507	2.3584700734401	2.30849087505373	2.3892772067727	2.33799238564524	2.346387766094625	2.387238811914215	2.20964258324871	2.2241049609693904	2.92356589998095	2.8815746653529253
Liver	3.02784699401264	2.41287859198005	2.91809772662834	2.3009202380095948		2.46539800465596	2.97418185003689	2.87914393706627	2.90966953275979	2.6773533246417403	2.825009295627675	2.7009617330869595	2.22809250991537	2.23882321049502	2.7152694080047204	2.8053300253193902	4.34264319263736	2.35106407696792	2.3357130988574104	2.23909503261365	2.23030841020404	2.447896489810825	2.49965834486654	2.493430064228905	2.91071596293173	2.759148029300925	2.7400683880826353	2.6592023147266346	2.63174909431457	2.7479545637130647	2.546635863806605	2.5792935962415897	3.2682207581106204	3.24837214106159
Small_Intestine	2.48823218379901	2.15342845229564	2.5105429516046	2.20410042847502	2.55952009592202		3.16193694086207	2.3277933848994303	2.4078478108432595	2.2609623757978596	2.38204209170408	2.34077379470693	1.9778830799591598	1.9785850720953602	2.20074557717857	2.3994250916539253	3.72358815705875	2.03414620033955	2.05861966026153	1.97771762348234	1.88647040574346	2.01467670276823	2.1111793544458703	2.143910312145775	2.35779823932696	2.3223031986666403	2.39501805194757	2.29168143511917	2.2369646958573153	2.32454456163843	2.186413774865865	2.13548121888356	2.9537715384541547	2.8491129183312593
Stomach	3.93586230146689	3.61407286675544	4.001727796962459	4.5378312883543455	4.12857797556687	5.29356987132141		4.40442406219357	4.25892073584661	4.1032069918623	4.33688642318832	4.34890511959843	3.6800390019156204	3.6453511324164802	4.0036029856870154	3.883864928270145	6.455397172895465	3.3981712475653194	3.38086934688096	3.31566841283844	3.258090010032495	3.234281458964035	3.4715017468855054	3.56176715316826	4.41095374988639	4.21782123450123	4.0202720212675	4.01236500865206	3.89504779878439	3.7960267701515096	4.063534043847925	4.25648855929695	4.4777699152407004	4.120974020491429
Left_Atrium	3.0501386956576004	2.38905678483408	2.75485868780783	2.534027490042115	3.18094825848096	2.7609021284828046	3.21104786248784		2.5536004988580503	3.05537177757956	2.7873203445490597	2.79605725712049	2.5750845075347053	2.492662795398425	3.38362137576277	3.3326252902770097	4.355214751020375	2.33488108190966	2.4475016021361	2.10162183654078	2.11817810359996	2.38885569873558	2.797849781547145	2.29865844438133	3.0452881247318198	2.8811786235831	2.896401265393235	2.82790510315799	2.795975050115925	2.8461136085893752	2.771708969674775	2.4834564038893996	3.418324411920355	3.31743681004485
Left_Ventricle	2.780164430662855	2.256974511947205	2.64829599315267	2.29283319310202	2.784388788883495	2.368851377984075	2.9613062359964104	2.4486647581		2.26235974721019	0	2.46305463173414	2.25942912199849	2.05090336440669	2.49524904445913	2.62387899644646	3.98763381075112	1.99366769448622	1.939490930326065	1.8517222941153202	1.84784522691772	2.04074833695721	2.18078267696047	1.9498389801242602	2.7014008559355	2.4276194254412697	2.4028771075680098	2.3148128984494902	2.17026116604312	2.3867049388921346	2.18142235287375	2.2944138037965702	3.16137852877611	3.0961386250853904
Right_Atrium	2.6478362282245196	2.140072266311845	2.63934697588989	2.26775614745633	2.84119449423688	2.36322608016192	2.997651891429015	2.46652590367137	2.04507976245945		1.9657781741245	2.42251188725908	2.20371218239939	2.119111660562565	2.6051048691700047	2.66779953418062	4.02226444276778	2.085452851773765	2.037531941199685	1.89163812751679	1.883221520012335	2.1067208109944096	2.1942464104437454	1.99808785792014	2.72790045980671	2.5321829723315497	2.6362063320504596	2.44457023973289	2.31116110117998	2.52005678948196	2.28047572191226	2.345584787526515	3.1568807577263303	3.0432514946531404
