	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
LIN_head	0	3.35686617126207	4.643913957576482	2.71650418243208	2.86127010921302	4.039923663396535	2.64444239716369	3.79229970377134	3.0712767198932798	2.90757409920832	4.038656065650665	3.327553377193225	3.5676225652796902	2.25643591693058	2.13740437386132	4.040702582802205	2.5616497020634648	3.4253124717716803	3.5802581260450603	3.76314209100714	4.64829860442905	2.75335715263974	3.3622966141409902	3.73760849702156	2.853372973530255	3.2356106730504846	2.70726950029168	3.08934076951608	2.885137467618625	2.75992115151653	4.853848248445866	5.063862446608916	2.48086494712316	5.877840892199429	3.10775338692509	2.539527457078975	3.2516472266361003	3.73611691338395	3.1502879188671	3.21306294372213	2.6048574133800497	3.01948171975365	3.81970314013454	2.69337078725043	3.9584345597404	3.9803891771043656	3.12739446328615	5.956153569836386	5.80235279099959	5.9488687644572105	5.9724862962224
MAS_head	7.5348400156595385	0	6.7855198579338	0.0	3.0845323224228154	0.0	2.97636478127236	0.0	0.0	0.0	0.0	6.50311387125849	5.125123424070225	0.0	0.0	2.74561197596308	2.8876847174004903	5.15219900895118	3.345793392578885	5.045055019371344	0.0	3.67153651588905	5.264156731081715	3.29446741822938	2.78284873366957	6.89401840303179	7.17600550833017	2.8120189993132745	4.680387108483475	3.66597952480849	0.0	0.0	6.74686119560867	0.0	3.788061483004885	2.96751411648226	5.434107326983055	3.90385938833709	3.1277559746421804	4.12662717448117	0.0	6.968827445194295	4.19567083073083	3.31791305052415	0.0	3.8018571426992405	0.0	6.06889615643707	5.949231514661349	5.97351905234504	6.07999215538108
BB_forelimb	6.5991520406070805	2.40751325044413	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.71809864022681	0.0	0.0	7.933467638644309	3.4946111834238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.97454721276286	5.914705301244553	5.99582572742295	6.0780950084423315
DAP_forelimb	5.28559661052835	2.726894482801029	7.121832979342692	0	0.0	0.0	0.0	0.0	0.0	0.0	2.36489809829278	0.0	2.1898443395994	0.0	0.0	0.0	0.0	2.074323533839545	2.1669109746779553	0.0	0.0	3.361174066478865	3.52069583174115	8.51233338539891	0.0	6.6278319036078	0.0	6.32817420695642	0.0	0.0	0.0	0.0	0.0	0.0	3.66176553776312	6.571318429877044	0.0	0.0	6.781133509495139	4.12614962085639	2.02041479918019	6.91577029096819	0.0	0.0	0.0	0.0	0.0	5.4730995530507895	5.28951109281196	5.3436712227944	5.399117173317776
DSP_forelimb	5.728864551428361	3.66231039390887	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9651068882357903	2.1402724396920147	3.62102423152404	0.0	3.64670231214994	3.97695647095459	4.7948870662778695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.16547014867734	3.69357466274234	6.3397339090314615	0.0	0.0	0.0	0.0	0.0	0.0	5.29074243092992	5.27474504537393	5.337128728699139	5.45124780091118
EDC_forelimb	5.931737507789888	6.279871214353499	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33950345090012	2.1518928409953304	0.0	0.0	2.74277743734148	4.40985209611999	6.1967449596909345	0.0	0.0	0.0	0.0	2.10660311764464	0.0	0.0	0.0	2.428046946011245	0.0	2.7750477421988347	4.164297931015899	2.5933347134035	0.0	0.0	3.3191091826641297	6.20684916982404	4.16912406776017	0.0	0.0	0.0	0.0	0.0	5.584471772464958	5.3101742040715045	5.363819858640536	5.50521283064876
EDL-F_forelimb	6.3691342941585	3.72178348504898	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1952893518156897	2.28701039823198	0.0	0.0	2.3854509875299748	5.450419523872986	5.71981246984931	0.0	0.0	0.0	0.0	1.96815925195382	0.0	0.0	0.0	2.384592966163665	0.0	2.62095173035311	4.11608146262512	2.4858725214393447	0.0	0.0	4.47238110746613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.26572893248536	5.4174689880689515	5.501530715982773	5.51377997627931
FDP-F_forelimb	5.98991129006015	4.25895459594118	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	2.8541785800873	0.0	0.0	0.0	0.0	2.6913834081828503	2.580366708718594	0.0	0.0	3.1959626815656605	4.80984523192931	3.2784105585850205	0.0	0.0	0.0	0.0	2.27555933856004	0.0	0.0	0.0	2.83236060954518	0.0	2.927533912044245	0.0	2.9456178987914505	0.0	0.0	2.4580964370355147	6.82001799349725	2.56130126555308	0.0	0.0	0.0	0.0	0.0	5.40699976794647	5.49918568454893	5.45678115184473	5.574456151249665
FDS-F_forelimb	6.668175732331568	3.6735914526138	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0909696934069246	0.0	0.0	5.26821687387258	0.0	0.0	0.0	0.0	0.0	1.73562127859291	0.0	0.0	0.0	0.0	2.4638009070139	0.0	2.47529741768286	0.0	2.61877852867133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.95803949529062	5.7699422856576	5.96436451172338	5.983040322690475
ISP_forelimb	4.825560197394076	2.99895529043237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.211646152063535	0.0	0.0	3.7590268684561954	3.79720520682317	5.14562085191137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.011598441655565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.45251013569152	5.29900042731385	5.26774738371929	5.47984383033255
SSP_forelimb	4.055935637122436	2.36661036378555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	4.115101819398145	3.27928436468866	6.5591980987179435	0.0	2.7513976757202	4.4632901620697805	5.31179084454028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4640721633324554	3.0394116068194004	6.59734191500956	0.0	0.0	3.02885930879534	4.393330411194516	3.71537780648462	5.152245759989361	0.0	0.0	2.65349209767536	0.0	5.2692756787097315	5.46271924347837	5.46215035399016	5.6488120158714406
