	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum		3.63388294635999	4.57356242705193	3.224765456519085	5.01131287592113	3.4816746424891902	4.17999692613739	4.30023838214892	4.150050351289435	4.551761457395866	3.8480594419429854	3.5862949308724397	3.4691437931114097	3.542789531577245	2.8186828404060496	3.44524670433168	5.15381561074279	3.2435584916181295	3.35107891566188	3.2723224747081003	3.0491985531197403	3.46905703873303	3.1591799176432596	3.14777184763542	3.67297357510711	3.5921647265708403	3.9379571772478803	4.185961833690049	3.540371370384255	3.83056669232624	3.8310445536043596	3.38989695278289	6.088143309152911	6.5956626681820705
Cerebellum	3.07842605282714		3.75117139911684	3.5848555032174	4.80000778110968	3.2934163438321598	4.27418723308998	5.29780020034498	3.9515287796630147	4.9219420116658394	3.96555586643215	4.430386036150179	3.5819167023860494	3.3386766075969	3.27918303774662	3.54128281766267	5.07732981168246	4.03474436993794	3.515292129989075	3.3315927837826154	3.2515934328466	3.7693032856870605	3.65306855946608	3.72089727100051	4.157376313242089	4.15986488973347	4.620950363400429	3.8275903663479154	3.6459741999794306	3.73180062550287	4.00809688148987	3.4899781833180805	6.66120624657512	5.572258911529651
Retina	3.3319158830324	3.715190296440295		3.5884390781930797	5.589117445237995	3.473432208767225	6.74031543652568	5.730418465915389	4.8068261888439405	5.309657141920351	5.14070852146122	4.311690384067996	3.651965827366455	3.52984025341679	3.43716173562224	5.03553052555187	5.84257927936922	3.774266971444335	3.792813958900235	3.2834359991487	3.46434137404243	4.0447040716486	3.7261794434473248	3.9626044118496098	4.33362050612523	4.116901435474595	3.985048254918265	3.98957019982016	3.788162346782115	3.7936311019103304	3.8669036215123396	3.68664683618182	7.12914919760761	5.53846373896913
Colon	5.31690169584448	5.24094387019821	5.531438931781019		5.55321695041805	4.0706458733859545	6.591085899032331	5.82176953237818	5.541195587321284	5.546368229273571	5.591462807137471	5.6486922911702	3.79186462836861	3.14134345452638	3.1513558063167406	6.2238486365315495	5.450017562614581	3.03945860776963	3.4966527733722	2.9330556498245297	3.0436764735993	3.55596434745546	3.27610117054025	3.2609760805370294	6.04717301942451	4.7699541099434	5.68889552401975	5.505754360063531	5.5168092884055095	4.14041184467063	4.973572952163241	3.8621777942598796	6.07296290889326	5.005352638582309
Liver	5.393978304579895	5.1667848466227095	5.6336062255869805	5.529401419310199		5.624442179075615	6.34149450626008	5.64045250899358	5.396314769739245	5.49705751140715	5.56641239038116	5.586257777577639	3.9373007010658956	3.5806937736633597	4.89004536532983	5.83166878922048	5.4249608287911855	4.67022940839232	3.8785164105865197	3.6189508641282897	3.791033797615095	4.63808459738154	4.234239364468235	5.75413384165584	5.579640121080849	5.61216942261965	5.50369078314283	5.4268928889600945	5.32533713066669	5.258286715091191	5.426299870747111	5.125421836973805	6.00046504096907	4.751556545282339
Small_Intestine	5.415811339735731	5.1505572149989405	5.766270231305129	4.20805402649283	5.550526426892049		6.62655620427297	5.79583360133309	5.567501052444509	5.63151106130621	5.62882341115556	5.09385873009373	3.35279336553503	3.10538472301079	3.524705337164295	6.14822262894609	5.658300850896749	3.1064472351221655	3.5266905914070596	3.1362096765009304	3.17733988342664	3.66552389732853	3.688636322204315	3.8815951829624904	5.95054450543935	4.978382185313105	5.75058232770702	5.63692391093429	4.0827836608178805	4.492855348368014	4.8518165555798305	4.09365182899803	6.528604629099231	6.67541427871075
Stomach	7.57946659331731	7.954042006646071	8.018978008484275	7.39642823057778	7.59131018024003	8.34013479686311		7.875314907536611	7.564007320516225	7.62288063127199	7.71343108927876	7.83910822667135	8.67450237096204	7.76689799527892	8.41029019938454	7.565354567244969	7.15913343240671	7.306954275071041	7.404173996290336	7.068301578481389	7.6000489245682	7.32290136632893	7.272332204122886	7.266395665868401	7.521926941686339	7.470299629924744	7.21530950695954	6.959459084050085	7.06368093596977	7.52309786692829	7.58987039714723	7.256788842822	9.321799947698146	6.081664583233439
Left_Atrium	5.76995939670004	5.59748102670427	5.8975698819525	6.03855431652347	5.588028801768299	4.01125973203541	6.74524887189355		3.0263853730283796	0	3.3864035866054603	5.67587553392676	3.34184967126538	3.29766590316251	4.88697609893664	6.01587896602674	5.850924574439611	4.004167277454014	4.18427948004211	2.677730365158375	3.22604198938637	4.75483896469861	3.15649206829872	3.32158167753976	5.76476326739761	3.83781255140069	3.536321937820695	3.8436595324693554	3.5306788577375094	3.3800307923067896	3.574326301618655	3.17247186184177	6.6214706216731	6.041243462276139
Left_Ventricle	5.420553796215191	5.084825956528455	5.66433586009369	3.6244008630969153	5.4106847204385895	3.655734471546185	6.166636003000031	6.040208204018865		5.1471898406164645	0	4.35728195702889	3.2176729776141353	3.04615499499887	3.3278242204907205	5.676380130856085	5.4607168719127595	2.65408513415982	3.0487625389172646	2.95862825772983	2.749537065217395	2.9947389966915	3.21949939627082	2.8488741168803102	6.01033073160415	4.01005675888519	3.42160718666238	3.3958925054845603	3.248680384171675	3.15181981543009	3.39471830219225	2.9720850601930295	6.01931185732234	4.36937000589268
Right_Atrium	5.397313715841941	5.1858990653252	5.644874432734589	3.68557736202945	5.383051552402951	3.741624531452045	6.27686254901537	0	3.27827843810493		3.0499964381466698	5.39894593955016	3.41543478097317	3.1358690253080694	4.06944999635348	5.7753950087545505	5.45451895746053	3.1014417439604998	3.186823011244355	2.5257788666909198	2.8394371378803096	3.5911253428431897	3.08080391107024	2.72997972042298	5.428966975040179	3.7566032160881098	3.4439730260426744	3.559323233799585	3.23839560225079	3.113362600401845	3.45248498863854	2.856279933509675	6.462694332487019	5.477193781242571
