	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
LIN_head	0	5	13	10	23	14	7	6	6	5	4	6	38	15	9	8	20	46	72	25	3	73	34	41	32	26	25	43	22	23	2	6	25	4	73	46	28	11	39	39	21	23	35	23	8	30	15	376	305	348	271
MAS_head	1	0	5	0	4	0	2	0	0	0	0	1	4	0	0	1	3	4	36	4	0	15	2	5	5	5	3	14	2	1	0	0	1	0	20	17	4	1	11	11	0	4	13	3	0	6	0	412	380	417	329
BB_forelimb	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486	372	477	327
DAP_forelimb	75	5	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	14	0	0	6	9	1	0	1	0	1	0	0	0	0	0	0	5	2	0	0	1	3	2	1	0	0	0	0	0	767	742	873	694
DSP_forelimb	26	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	20	1	0	6	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	929	808	850	614
EDC_forelimb	19	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	0	0	11	2	2	0	0	0	0	1	0	0	0	2	0	4	1	3	0	0	2	3	1	0	0	0	0	0	678	692	802	579
EDL-F_forelimb	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	10	4	1	0	0	0	0	1	0	0	0	2	0	3	1	2	0	0	3	0	0	0	0	0	0	0	930	615	718	571
FDP-F_forelimb	17	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	0	0	4	1	2	0	0	0	0	1	0	0	0	2	0	2	0	2	0	0	2	1	1	0	0	0	0	0	811	533	685	530
FDS-F_forelimb	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	483	437	497	386
ISP_forelimb	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	804	741	933	579
SSP_forelimb	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	2	0	9	1	1	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	5	2	1	2	0	0	1	0	757	489	599	401
SUB_forelimb	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	21	1	0	7	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	708	768	881	615
TB-LA_forelimb	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	626	527	564	437
TB-LO_forelimb	52	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	963	789	835	589
TB-M_forelimb	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	0	3	6	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	789	731	868	625
TM_forelimb	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	648	667	806	477
BRA_trunk	23	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	746	720	841	606
LD_trunk	10	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	455	421	420	398
LDM_trunk	30	18	0	0	1	0	1	0	1	0	3	2	0	1	0	0	0	2	0	2	0	0	8	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	3	0	13	0	0	0	1	0	0	677	516	551	452
OEA_trunk	7	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	2	474	447	540	407
PP_trunk	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	558	497	572	447
PS_trunk	20	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	583	427	464	368
RA_trunk	11	10	1	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	6	0	0	3	0	1	1	0	0	3	0	1	0	0	0	0	4	1	1	0	2	0	1	0	4	1	0	2	0	485	454	571	415
RHO_trunk	16	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	658	423	493	387
SP_trunk	46	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	844	766	935	578
TA_trunk	13	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	626	508	598	464
TRC_trunk	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	479	367	425	344
ADD_hindlimb	35	10	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	913	661	753	636
BF_hindlimb	22	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	556	567	686	486
EDL-H_hindlimb	42	5	0	0	0	0	0	1	0	1	7	1	0	0	1	1	1	5	7	3	1	12	17	4	1	2	2	0	2	0	0	0	0	9	0	0	0	0	2	0	2	0	0	0	2	1	2	1234	884	931	683
FDP-H_hindlimb	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	251	242	208
FDS-H_hindlimb	7	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	0	0	14	2	4	0	1	1	1	0	0	0	0	1	0	13	1	2	0	0	3	3	1	1	0	0	0	0	588	674	688	534
GAS-L_hindlimb	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	690	522	562	486
GAS-M_hindlimb	8	4	1	0	0	0	0	0	1	0	0	0	5	0	0	1	0	8	21	0	0	34	0	2	0	1	0	8	1	3	0	0	6	0	38	7	9	0	4	15	1	1	11	0	0	4	0	505	465	477	401
GM_hindlimb	20	5	0	0	0	1	1	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	2	0	0	0	1	0	2	0	1	699	599	667	534
GRA_hindlimb	32	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	3	11	0	0	4	1	0	1	0	0	0	0	5	0	0	1	0	0	0	8	0	0	0	3	0	0	937	685	758	653
PM_hindlimb	7	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	2	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	598	504	601	469
RF_hindlimb	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671	645	736	514
SAR_hindlimb	31	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	7	2	0	3	5	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	7	0	0	0	1	0	0	943	814	1016	754
SM_hindlimb	18	4	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	641	656	660	538
SOL_hindlimb	9	3	1	0	1	2	0	0	1	1	2	0	1	1	0	0	1	0	31	2	0	7	7	2	1	3	2	8	2	1	1	1	1	4	4	7	0	0	3	3	0	0	6	0	5	6	3	583	534	566	529
ST_hindlimb	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	714	540	657	485
TFL_hindlimb	16	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	728	629	795	644
TIC_hindlimb	21	5	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	15	9	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	668	643	665	585
VI_hindlimb	10	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	14	0	1	6	1	1	0	0	0	1	0	0	0	0	0	0	4	1	0	0	2	1	3	0	4	0	0	1	0	588	573	663	518
VL_hindlimb	36	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	7	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	0	797	685	952	641
VM_hindlimb	24	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	662	592	760	523
Left_Atrium	56	62	136	72	128	92	96	80	101	82	115	96	168	103	85	102	123	187	279	126	75	280	166	217	128	190	162	195	104	137	24	66	180	46	277	165	180	86	139	163	123	163	161	121	89	128	101	0	38	0	18
Left_Ventricle	56	77	154	108	138	115	116	91	145	107	112	119	185	109	113	157	153	207	277	146	111	248	202	205	150	228	190	233	119	122	34	91	189	71	305	189	227	116	173	226	138	186	231	157	132	194	122	107	0	74	0
Right_Atrium	63	94	175	115	162	162	127	138	154	128	146	121	225	143	120	166	183	271	324	184	133	270	230	212	170	236	220	247	160	145	38	104	229	84	361	228	252	138	185	282	195	221	255	186	165	193	150	0	32	0	20
Right_Ventricle	51	74	146	89	132	104	88	73	120	112	95	99	161	115	97	135	139	198	257	156	105	225	163	180	148	232	161	179	138	121	34	72	160	63	293	166	199	100	154	212	121	176	194	128	119	172	105	74	0	59	0
