tissue	diff_num	gene_biotype	group_id
ADD	1701	circRNA	ADD_hindlimb
BB	1004	circRNA	BB_forelimb
BF	1238	circRNA	BF_hindlimb
BRA	1523	circRNA	BRA_trunk
DAP	1560	circRNA	DAP_forelimb
DSP	1696	circRNA	DSP_forelimb
EDC	1440	circRNA	EDC_forelimb
EDL-F	1485	circRNA	EDL-F_forelimb
EDL-H	1964	circRNA	EDL-H_hindlimb
FDP-F	1345	circRNA	FDP-F_forelimb
FDP-H	531	circRNA	FDP-H_hindlimb
FDS-F	1024	circRNA	FDS-F_forelimb
FDS-H	1263	circRNA	FDS-H_hindlimb
GAS-L	1338	circRNA	GAS-L_hindlimb
GAS-M	990	circRNA	GAS-M_hindlimb
GM	1634	circRNA	GM_hindlimb
GRA	1696	circRNA	GRA_hindlimb
ISP	1551	circRNA	ISP_forelimb
LD	1132	circRNA	LD_trunk
LDM	1466	circRNA	LDM_trunk
LIN	1013	circRNA	LIN_head
Left_Atrium	2701	circRNA	Left_Atrium
Left_Ventricle	2342	circRNA	Left_Ventricle
MAS	876	circRNA	MAS_head
OEA	1073	circRNA	OEA_trunk
PM	1321	circRNA	PM_hindlimb
PP	1094	circRNA	PP_trunk
PS	1272	circRNA	PS_trunk
RA	1205	circRNA	RA_trunk
RF	1327	circRNA	RF_hindlimb
RHO	1266	circRNA	RHO_trunk
Right_Atrium	2603	circRNA	Right_Atrium
Right_Ventricle	2025	circRNA	Right_Ventricle
SAR	1822	circRNA	SAR_hindlimb
SM	1513	circRNA	SM_hindlimb
SOL	1258	circRNA	SOL_hindlimb
SP	1710	circRNA	SP_trunk
SSP	1279	circRNA	SSP_forelimb
ST	1378	circRNA	ST_hindlimb
SUB	1533	circRNA	SUB_forelimb
TA	1366	circRNA	TA_trunk
TB-LA	1268	circRNA	TB-LA_forelimb
TB-LO	1673	circRNA	TB-LO_forelimb
TB-M	1523	circRNA	TB-M_forelimb
TFL	1571	circRNA	TFL_hindlimb
TIC	1386	circRNA	TIC_hindlimb
TM	1420	circRNA	TM_forelimb
TRC	991	circRNA	TRC_trunk
VI	1256	circRNA	VI_hindlimb
VL	1676	circRNA	VL_hindlimb
VM	1348	circRNA	VM_hindlimb
