	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
LIN_head	0	2.6091228511219557	2.66767263475765	2.9119024374447595	3.08126393636534	3.15811904835147	3.22875088625799	3.39214287428155	2.73761033344014	3.26838992803177	2.9151220544199496	3.2879538153661048	2.707713251577105	3.0655952189996203	2.92898814250141	3.2708253588140805	3.3351986596685896	3.0556600214137406	3.3052949381124903	2.3999690273934497	3.7473994859980695	3.17700780835876	2.7126810033612903	2.8326098024307145	2.8155832477563845	2.78559676729936	2.8671251007463394	2.9938127480151104	2.9460047697612253	3.51874199106535	4.25960806458645	3.224469993300165	2.96220360161976	3.20775553760668	2.8721389837704	2.79514955551227	2.5849874808652347	3.2315566052691453	3.2849784470039505	2.865294173101685	2.31964560326369	2.627910555383925	3.115593387005375	3.006500764126029	2.9912623247405152	3.0416588578145696	3.47063860259788	3.0891343263627147	3.0107891540410097	3.09603508609932	3.04520960127104
MAS_head	2.78925475048283	0	3.271573417120156	3.19893411402686	4.063917922896176	4.05971046489368	4.20007809564029	4.042382513088435	3.178826402914525	4.567005444609499	3.1212831247349646	4.30607029230207	2.8639272229980155	3.22143645737376	3.91634565300352	4.4452237612463	3.987792251526165	3.12318802007466	3.2555054478629906	2.6665347862380298	4.5115743341127015	3.10244683454674	2.53471811912201	2.971709098210709	3.43755305306889	2.67862773180129	3.1259374700409053	3.0788350551345003	3.2130318107310547	4.09652799579265	4.29473783280492	3.4174463594740296	3.18199922979411	2.92246175054165	3.05235417602176	3.2250906441679046	2.84239144897606	4.4312514395126446	4.03891008036488	2.92170132307901	2.6415146203117703	3.27152542985594	3.63844823699677	2.91770475184852	3.3813208546253897	3.6267876152547	4.395776269650705	2.8260868335267357	2.851093252460145	2.71958861192832	2.891293628139965
BB_forelimb	3.0849048663622503	2.69226428622346	0	3.6396560667101694	5.35015090371967	4.56077994201714	4.470882906892183	5.159045460514836	2.801655351362549	5.0146611451605	3.23800580912287	4.5782112892795235	2.89330490995062	5.44176225893821	3.60173302690207	5.63723570724648	5.215186199399955	2.8795809431067902	3.3903042008981847	2.8166486409939804	5.468037259095265	2.791981602063049	2.86685010006266	0.0	3.93424916630017	2.945803771807725	2.46324906605181	3.37215468527938	3.35907324862398	5.140933460900945	4.758917252352496	3.65263014162254	4.3513436077496	3.4380185996624	5.214717949561045	3.2655489911430498	4.24153489088566	4.1254909481377835	5.629967307308355	7.351897607945785	2.7177492190744306	10.9240993424401	5.16958582842763	3.3456404307385803	3.38663923812642	4.01752150605519	5.82318687780574	3.2025108040467254	2.98011949692864	3.061352695692636	2.9590956587165547
DAP_forelimb	2.4527513671359302	2.3502872145119302	2.4458136870626204	0	0.0	3.06602654353216	0.0	3.5776523713644646	2.18292462624452	0.0	2.64572561573696	0.0	2.11080263226336	2.24163518704789	3.05514463270362	2.9328456292366805	3.002901166082049	2.8855005523332	2.6879677463229	1.890930990105415	3.7626022454743353	2.58781241387819	2.27362555880874	2.495481259358245	3.2470969910388545	2.2532269797937747	2.62724579991674	2.68274083740196	2.36415977844395	3.21435211473169	3.39058113924749	2.8592503011236	2.3192171808812203	2.6585291874106747	2.17281099109931	2.3982732154127904	1.82673791913935	6.3233169106959055	2.8471327693025748	2.1425292426930502	2.0110369725513504	2.3687376680367453	2.6993171423794045	3.5340210059194748	2.46158784743119	2.65873581464739	2.995914380479629	2.5905743051306898	2.40285514146996	2.46361426850888	2.40223672293059
DSP_forelimb	2.799660517058109	2.7099318368535203	2.820735851047515	0.0	0	4.635155854891655	0.0	3.53035290032814	3.154393920196	2.67774789432143	2.68719700274762	6.58953304726259	2.8114563077955004	2.608001135821195	3.1768236420385803	2.6921811378299703	0.0	3.579601851140815	3.37346181179699	2.01134375357443	0.0	3.02723375169234	2.4986757595728903	3.360444100576629	2.38058258724471	2.27055617757174	3.15652108477031	2.9512755326794906	2.61029821283641	2.23982888361291	3.6966760617193346	3.6228528446093797	2.77952126788463	3.1533881625587403	2.36835913834927	3.02424911064762	3.287283370965565	6.923410983776486	3.5522181066967	2.9766185656324247	2.67325142703477	4.36486674971403	3.736651570258154	5.88892454234467	2.7362866124828797	3.55599297894102	3.51185221651125	2.83179017892967	2.69396271603799	2.7349861146734704	2.761563158178255
EDC_forelimb	2.43036003729777	2.5692070325314	2.1922961478122502	2.744072357383765	2.341224596595295	0	0.0	0.0	3.1951684509731395	0.0	2.309819409489915	0.0	2.406574250611115	3.884407350030825	4.9155530144956385	2.1917140502774	2.6978249068168654	2.76004123906182	3.0951325235239797	2.2689992260743503	0.0	2.7300771867786	2.54939208118218	2.7461154075949903	2.57316892029671	2.46378911968263	2.7367222062738	3.2260793417340548	2.6263558622724146	0.0	3.323391170580655	2.9613678643003	3.17714429383773	2.77094867856133	2.38332020385054	2.50191583408768	1.7776109954576549	0.0	3.39617097199939	2.4478484621722547	2.0219296468216053	2.263193958604625	2.62291020278562	2.47825917175782	2.484522239820625	3.07549763554438	3.0674816644104905	2.61631802275398	2.41799955489986	2.303738058455785	2.43566301739026
EDL-F_forelimb	2.46640506422269	2.6723810748384302	2.653513356535645	2.89869322122055	3.7525481948233	0.0	0	3.62839070927974	2.79731203511423	3.36568718115486	2.60057563013196	0.0	2.6870999609874904	3.14779459926296	3.0549136763667204	0.0	4.33657971716294	2.96470220897536	3.14056561483293	2.19184944178011	3.0208606237210303	2.7808076353400453	2.50478533167316	3.75874445161358	2.49486519124244	2.435295058990735	2.9265423337324306	3.6052388506301294	2.71512945425991	6.8715461371399345	5.2380351659988	2.87208704431494	2.650073057206465	3.0896351022988795	2.25760781235676	2.64264403739493	1.9234898565723002	3.4105641110297595	7.46194062548668	2.275562657867135	2.1326005645701502	2.32920860840216	3.4745301265727995	8.0042280510514	2.6684282238726	3.36781575376709	3.24622530125499	2.70710457456567	2.5175925662650553	2.4939314227475897	2.57409228409912
FDP-F_forelimb	2.698489845958835	2.7886909097235897	3.50671280205689	2.611912724861435	3.20185246703834	0.0	0.0	0	2.15642177517298	0.0	2.6958229798107447	0.0	2.627689625252	3.9239706304170494	6.39243793319748	0.0	2.4882655439004	2.77792068047122	3.241666925314855	2.463226058781	3.3800888565286	2.74903904970366	2.712178368393845	2.6688008768961904	2.705346600574195	2.48547746488362	3.0884748016946704	5.2153570705320345	2.924487002966125	7.709208986266629	7.148039242828599	7.30927565142436	3.46465065375212	2.4929693551254104	2.6359404671042497	2.7990339203311847	2.1031171345457897	7.67860201194133	5.251916013778599	2.66137145189454	2.5140065224995953	2.8518246000604	2.9552725556084303	5.566170951809335	4.1052275113651095	5.6993026523946	2.6683764043773848	2.7753825343218	2.60132954479727	2.51970705491173	2.6166477189099604
FDS-F_forelimb	3.0336555866928303	2.67028795805631	0.0	4.019189182240595	6.055525744738009	5.88504503081622	5.620238592157869	5.94494805284642	0	5.5930427654157695	3.0918992840289548	5.547544164643265	4.199450308601375	5.42489445266865	4.61485273550888	5.9032314799134005	5.5239988919434495	5.3756652640921105	4.23598883366571	2.338761998885335	6.08725438555325	2.9943333241919	2.778193693104185	2.9949777983897596	5.38724647070845	2.93960957568452	3.935085258685915	3.54802720480489	3.929741781606635	6.43185125555555	4.910510295853094	4.04622569487506	3.85853245622049	3.2032944239753105	4.2646177137544	3.923138087445385	2.48715736664965	5.7282898139675	5.75037585023599	8.43049377485773	2.646793187010755	3.79985643829091	4.187688126998061	3.2530152379386954	3.921731060354325	5.962973399665325	6.33087273295982	2.9815768089200048	2.78764428705783	2.8684202414134705	2.85981783652267
ISP_forelimb	2.56387461310302	2.78049766542757	3.3855299751460897	4.9265835127405	0.0	3.53171977885217	0.0	3.133636974781235	3.82862005854328	0	2.86588208722844	0.0	4.5478797386470005	0.0	6.39004468534994	0.0	0.0	3.5798564817733105	3.88472931676775	2.26960135461596	0.0	2.925495855079	2.41809317882273	3.9511530940695545	0.0	2.6578395161066	3.569624742974296	3.27209854434637	3.3195079497397297	4.85455062632196	5.88929315465384	5.43359829269076	2.95733599270061	3.0907662932348403	2.772193685022875	2.63903544802773	2.24613440874338	7.6106044474004015	3.12433733576646	3.00461292089185	2.3693484816834203	3.7154986723659102	3.1277446489918455	4.61208285852291	8.0804804274676	5.83020404887455	7.98623706148968	2.72264037054821	2.4989057428632853	2.3985590339907454	2.5508615912819304
