	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
LIN_head	0	112	114	305	219	193	179	162	81	203	266	158	166	202	127	197	178	164	199	216	153	158	218	130	284	188	162	438	304	197	179	338	164	399	217	389	162	184	233	158	137	128	278	383	340	254	187	712	818	727	734
MAS_head	99	0	48	205	120	99	93	102	34	76	104	71	94	101	29	91	100	82	119	95	85	107	102	61	152	77	68	293	164	111	137	247	71	280	107	240	67	86	139	84	65	45	176	299	190	129	80	842	870	877	808
BB_forelimb	132	76	0	160	63	67	68	50	1	60	86	46	3	15	3	33	36	13	10	11	36	5	25	0	71	12	6	235	103	50	130	225	7	269	4	188	5	70	38	2	18	1	55	256	182	63	45	800	886	834	836
DAP_forelimb	238	160	20	0	0	3	0	4	15	0	83	0	49	14	7	2	5	27	43	54	2	61	97	22	4	52	47	19	47	7	36	22	83	50	95	20	55	2	6	48	86	22	16	6	27	17	15	1010	1279	1099	1227
DSP_forelimb	175	85	8	0	0	2	0	1	11	1	55	1	26	8	3	1	0	10	17	27	0	27	58	5	2	33	21	21	33	5	50	14	51	31	41	13	20	2	3	18	27	7	4	5	10	9	8	904	1091	1042	1012
EDC_forelimb	185	99	12	4	2	0	0	0	4	0	56	0	8	2	3	2	2	28	28	62	0	50	69	15	5	49	24	10	24	0	2	1	17	9	39	4	52	0	1	38	52	10	13	1	10	9	6	981	1195	1122	1150
EDL-F_forelimb	153	93	10	4	3	0	0	1	3	1	62	0	18	9	5	0	3	35	45	60	2	52	83	15	13	64	39	14	35	2	4	7	34	29	71	14	44	3	1	42	38	15	9	1	16	14	15	927	1054	1038	1007
FDP-F_forelimb	136	92	5	6	3	0	0	0	3	0	28	0	12	4	1	0	4	34	20	54	1	35	52	18	8	33	36	6	14	1	1	1	15	12	31	4	57	1	2	19	34	7	16	2	3	4	8	885	1109	1071	1060
FDS-F_forelimb	90	60	0	112	40	29	26	29	0	27	80	22	4	8	5	36	30	4	10	22	15	19	48	2	43	15	4	182	68	19	76	149	9	197	8	112	23	35	37	3	16	3	77	194	136	38	26	772	972	797	893
ISP_forelimb	175	60	10	2	0	1	0	2	13	0	3	0	5	0	1	0	0	14	8	24	0	23	10	4	0	18	6	5	6	5	7	3	19	8	30	9	29	1	3	25	34	11	8	3	1	3	1	897	1074	1132	989
SSP_forelimb	170	70	20	9	12	15	4	14	34	1	0	4	46	16	5	0	20	45	74	53	5	60	28	30	8	34	24	24	7	31	44	9	43	14	60	30	85	5	28	62	57	20	62	42	2	19	1	1034	1108	1166	1095
SUB_forelimb	149	54	6	3	1	3	0	1	6	0	33	0	17	10	6	0	1	22	27	32	2	32	37	9	2	31	19	15	21	2	11	12	47	27	68	8	17	3	1	40	26	14	7	2	8	7	7	819	1017	1017	931
TB-LA_forelimb	174	91	0	112	51	26	45	28	5	18	92	21	0	8	2	25	38	0	1	23	16	0	52	1	24	9	1	167	50	34	95	157	1	234	1	124	8	36	32	2	22	2	55	208	130	25	12	837	1032	859	978
TB-LO_forelimb	285	108	11	6	4	6	7	6	17	0	33	5	5	0	1	0	17	17	8	50	8	26	85	14	0	32	18	9	7	8	26	19	17	65	11	16	63	3	19	6	116	16	19	24	14	1	1	1095	1441	1316	1325
TB-M_forelimb	170	40	2	9	4	2	5	3	10	0	9	1	1	1	0	0	4	8	5	12	3	7	19	2	0	9	7	15	1	4	50	21	4	50	5	15	6	1	8	2	20	2	10	37	2	3	1	903	1108	1095	1042
TM_forelimb	164	57	2	0	0	1	0	0	12	0	0	0	8	1	0	0	1	12	10	14	0	11	21	7	0	17	11	6	4	5	27	5	22	14	18	9	26	1	2	11	34	6	2	2	1	3	2	897	1148	1084	1077
BRA_trunk	187	121	8	2	0	2	0	3	15	1	108	0	26	29	9	3	0	9	31	23	0	25	66	3	8	22	22	18	32	11	58	30	65	88	63	17	20	8	2	21	53	15	2	10	29	12	16	861	1042	1047	1050
LD_trunk	147	71	0	112	37	38	37	35	2	27	65	25	3	9	6	32	30	0	1	3	5	2	14	0	27	2	1	172	42	40	91	168	11	215	1	121	10	40	30	1	19	1	44	194	133	39	33	765	904	807	886
LDM_trunk	184	112	4	14	9	12	17	3	16	6	91	7	3	0	2	3	5	3	0	36	3	3	66	6	0	19	6	9	21	10	7	8	12	88	2	4	39	1	5	1	84	14	1	28	30	1	7	756	999	879	933
OEA_trunk	215	119	6	206	111	149	149	127	18	128	135	81	17	84	11	87	71	12	63	0	68	28	3	5	125	3	7	321	144	112	258	293	41	371	37	258	9	100	126	10	26	4	127	330	256	132	133	989	1128	1076	1076
PP_trunk	134	72	2	0	0	0	0	0	3	0	5	0	9	3	2	0	0	2	5	1	0	5	2	2	0	3	4	1	3	6	3	5	15	6	9	2	32	1	3	7	32	6	8	3	4	1	2	821	1027	946	990
PS_trunk	162	104	0	117	47	43	47	40	4	23	75	28	1	11	3	18	34	0	0	12	6	0	41	0	25	9	1	145	43	37	102	166	3	211	1	122	13	39	36	1	29	3	46	202	136	23	26	760	989	806	910
RA_trunk	245	127	11	102	29	32	33	19	39	12	43	15	41	54	20	17	16	24	53	4	2	43	0	9	29	6	21	143	37	48	70	135	40	165	48	101	17	9	13	28	67	7	27	205	90	38	38	1003	1078	1192	1040
RHO_trunk	166	86	1	139	31	48	30	39	2	28	70	20	11	28	9	29	24	1	7	2	7	2	9	0	40	2	3	227	88	41	120	191	15	261	6	169	10	53	35	3	27	3	52	232	164	54	38	766	946	780	850
SP_trunk	219	111	15	3	3	5	5	2	23	2	8	1	7	0	0	0	2	9	2	16	1	9	17	8	0	8	10	8	10	9	52	13	23	24	19	11	59	5	7	15	65	17	6	9	11	1	5	1031	1246	1158	1157
TA_trunk	216	106	8	204	127	171	165	141	17	143	140	117	16	61	8	100	86	4	40	1	86	30	3	2	128	0	5	291	125	127	231	269	16	356	10	250	19	90	129	8	45	3	122	348	243	110	101	1006	1169	1087	1159
TRC_trunk	122	66	0	109	36	41	38	48	1	20	32	26	0	17	4	21	36	0	1	2	16	0	6	0	30	4	0	187	56	38	95	172	4	195	1	129	17	41	38	1	18	1	53	224	131	24	30	805	949	826	899
ADD_hindlimb	298	171	30	20	12	5	9	2	46	0	31	6	11	3	2	3	8	39	9	72	0	20	62	31	1	42	29	0	1	4	4	3	12	3	14	5	90	0	7	10	133	19	4	6	0	0	0	1127	1355	1249	1299
BF_hindlimb	166	93	16	12	6	5	7	8	20	1	7	7	7	3	2	4	9	13	11	24	1	10	16	15	2	16	6	0	0	11	10	5	6	3	5	8	37	0	11	5	37	12	12	16	1	0	0	912	1075	1041	1035
EDL-H_hindlimb	220	127	23	5	3	0	0	0	8	4	97	3	9	2	5	4	4	31	16	89	8	41	112	23	6	65	56	11	36	0	4	6	26	40	30	1	43	0	2	16	58	15	9	0	24	3	14	935	1135	1082	1043
FDP-H_hindlimb	132	77	25	11	14	1	4	1	15	0	18	1	25	3	11	10	10	37	12	94	3	41	51	24	14	57	37	7	11	3	0	0	11	0	41	10	93	0	6	25	121	22	14	7	3	9	2	595	919	786	833
FDS-H_hindlimb	198	131	21	10	5	0	2	2	12	0	11	2	19	6	8	5	12	52	30	67	3	71	60	28	8	43	39	8	11	1	0	0	17	0	41	5	100	1	5	40	77	19	21	3	2	7	4	1061	1250	1213	1220
GAS-L_hindlimb	191	106	4	189	140	87	98	78	13	74	121	76	0	35	5	86	101	16	27	34	76	10	41	7	89	23	5	195	82	78	118	191	0	274	0	148	28	50	93	0	31	2	137	281	193	69	82	972	1207	1136	1143
GAS-M_hindlimb	225	154	121	33	25	4	12	9	58	5	6	7	119	64	19	15	30	106	150	135	2	121	80	83	36	115	91	13	23	16	1	0	69	0	193	34	213	5	44	199	150	97	60	10	2	37	2	1014	1155	1227	1152
GM_hindlimb	197	124	0	199	93	127	142	107	20	118	142	105	0	39	3	65	82	0	7	31	65	3	59	3	88	17	1	236	81	81	182	222	1	377	0	188	4	58	89	0	24	1	102	323	186	68	70	916	1128	1087	1042
GRA_hindlimb	349	227	31	7	9	2	8	2	38	6	117	7	18	8	5	10	11	18	7	91	3	30	122	16	11	62	50	2	28	2	7	1	26	37	27	0	142	0	0	16	166	30	6	15	27	1	14	1170	1425	1299	1329
PM_hindlimb	227	102	5	229	143	194	172	172	33	154	236	121	12	92	9	122	107	34	96	35	126	43	62	16	159	35	38	296	162	128	261	326	16	447	16	305	0	106	136	5	6	3	122	325	243	120	138	1039	1075	1176	1005
RF_hindlimb	181	78	4	3	3	2	2	1	10	0	17	0	6	1	2	2	4	19	4	44	0	16	47	12	1	28	20	5	8	2	2	5	13	24	5	1	30	0	0	8	68	5	0	5	1	3	0	905	1151	1100	1074
SAR_hindlimb	217	142	9	1	2	3	0	1	16	6	119	0	24	20	22	4	0	25	14	54	2	33	71	12	16	50	35	11	55	10	3	14	32	62	35	3	40	1	0	16	80	13	0	1	44	9	26	866	1101	1091	1086
SM_hindlimb	191	97	0	190	80	130	136	96	10	112	176	89	0	31	6	65	67	3	2	26	69	4	49	3	105	21	1	252	105	70	195	262	4	426	0	201	7	74	93	0	19	0	82	288	223	72	89	913	1126	1015	1079
SOL_hindlimb	194	100	13	253	137	164	131	145	18	129	233	111	45	120	24	121	119	40	152	47	123	77	128	31	189	60	52	359	222	119	268	348	59	442	87	311	10	137	173	47	0	8	188	306	299	176	175	1027	1066	1054	1037
ST_hindlimb	169	86	0	199	101	122	131	110	4	133	143	92	3	46	9	89	58	2	39	3	77	12	24	0	111	5	2	239	134	104	172	266	8	364	1	212	3	90	94	0	9	0	108	280	225	112	101	885	1023	1018	986
TFL_hindlimb	326	176	18	5	0	14	4	8	41	3	186	2	16	23	18	6	0	18	6	63	5	16	89	20	12	64	47	19	63	10	39	45	59	94	35	7	30	0	0	14	119	20	0	10	40	5	21	1002	1203	1242	1137
TIC_hindlimb	267	205	73	5	7	0	1	2	39	5	187	2	75	34	26	5	3	70	60	119	8	112	194	66	18	131	124	25	80	0	14	31	132	68	169	21	63	7	3	111	38	80	10	0	39	20	27	1141	1196	1229	1149
VI_hindlimb	207	81	34	20	14	6	4	5	27	1	1	3	37	11	3	3	11	48	58	66	5	69	25	47	5	44	41	4	4	13	3	3	35	3	61	16	40	0	14	86	58	30	29	6	0	1	0	957	1046	1128	1028
VL_hindlimb	202	102	9	12	4	5	2	2	17	1	42	1	2	0	1	2	5	20	7	56	2	7	69	12	0	30	15	3	2	6	21	8	8	43	3	6	26	0	2	3	47	5	3	13	1	0	0	959	1226	1222	1122
VM_hindlimb	151	69	11	11	8	4	6	3	14	0	0	3	7	1	3	0	10	30	25	46	5	30	21	15	4	28	24	4	3	8	0	1	14	9	18	12	27	0	10	14	41	10	13	13	1	3	0	853	1064	1068	995
Left_Atrium	492	633	544	823	711	718	676	654	591	679	797	633	644	739	547	675	636	701	612	710	622	675	701	560	836	748	626	943	801	684	525	859	654	942	709	900	630	628	662	657	703	556	745	954	830	744	634	0	295	34	210
Left_Ventricle	553	745	683	957	848	939	882	852	681	865	974	820	768	1063	777	897	844	772	921	838	795	816	806	698	1009	906	796	1117	956	878	727	1047	876	1130	875	1104	731	798	829	853	706	702	933	1109	993	980	893	324	0	347	0
Right_Atrium	606	809	763	1004	947	1017	934	929	777	953	1068	901	809	1070	868	996	894	885	992	939	854	911	964	736	1087	1028	846	1185	1047	944	781	1119	968	1150	989	1111	942	896	967	943	880	829	1085	1123	1092	1057	1009	38	432	0	356
Right_Ventricle	540	705	607	909	830	890	844	813	659	863	937	790	730	992	739	870	784	762	849	787	778	771	811	675	1019	844	733	1073	941	836	704	983	865	1076	856	1038	725	821	810	820	693	683	910	985	944	951	826	278	2	339	0
