	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum	0	1323	1620	2004	1763	1818	897	1604	1860	1763	1686	2112	2053	2298	1792	1617	6482	1821	1866	2087	2346	1845	1645	1927	1308	1701	1484	1594	1760	1586	1880	1581	1335	1320
Cerebellum	1501	0	1525	2049	1862	1823	1010	1913	1949	1979	1881	2209	2056	2177	2076	1847	6466	2162	2060	2239	2435	1971	1938	2126	1522	1887	1669	1641	1855	1571	1773	1636	1317	1282
Retina	3189	3405	0	3091	2221	2761	1244	2485	2556	2783	2459	3178	2945	3577	2677	2119	7063	3086	2947	3442	3614	2834	2579	3132	1996	2639	2244	2100	2539	2006	2431	2435	1390	1365
Colon	3484	3189	2368	0	1576	405	369	1755	1849	1700	1795	1971	976	878	1336	1402	6836	1597	1521	1763	1853	1248	1292	1503	1198	1626	1312	1413	1554	1458	1659	1447	1171	1138
Liver	3859	3825	2585	1790	0	1337	832	1896	1780	2067	1856	1825	1668	2029	2047	1981	7225	2047	2003	2471	2425	1710	1582	1960	1367	1780	1540	1616	1885	1500	1862	1638	1321	1418
Small_Intestine	3429	3131	2303	359	1437	0	277	1755	1791	1829	1736	1810	1057	993	1469	1412	6827	1747	1666	1943	2133	1389	1405	1636	1237	1633	1380	1461	1660	1439	1652	1439	1182	1195
Stomach	1954	1686	1273	272	849	270	0	874	948	751	913	857	490	611	778	702	5432	647	677	789	734	518	570	660	630	863	735	793	930	817	882	655	713	662
Left_Atrium	2782	2639	2037	1380	1307	1176	640	0	284	36	209	1727	1116	1480	765	932	6638	811	759	977	1001	572	530	473	398	655	562	611	700	620	656	629	1158	1195
Left_Ventricle	3434	3244	2363	1793	1628	1538	809	423	0	451	0	2190	1547	2249	1672	1688	7155	1501	1498	1777	1877	1069	1075	1116	520	897	839	891	1128	824	959	772	1335	1360
Right_Atrium	3112	2946	2241	1395	1474	1239	676	43	399	0	355	1929	1216	1592	1168	1343	6864	872	840	1124	1134	646	604	527	513	867	740	884	1099	882	1009	806	1223	1267
Right_Ventricle	3494	3235	2325	1761	1547	1516	811	343	1	408	0	2122	1548	2127	1601	1606	7130	1360	1416	1691	1765	1026	960	972	501	841	776	838	1061	812	893	733	1358	1369
Kidney	3224	3045	2140	1362	1199	1085	544	1546	1532	1648	1519	0	1394	1716	1354	1239	6759	1730	1575	1892	1919	1424	1377	1665	1127	1525	1373	1448	1642	1370	1592	1370	1189	1136
Lung	3311	3003	2177	842	1497	850	523	1519	1637	1543	1593	1877	0	619	1003	1187	6721	1315	1320	1589	1513	929	964	1298	1085	1485	1274	1404	1607	1411	1587	1337	1121	1080
Spleen	2943	2592	1934	858	1453	895	605	1579	1577	1594	1548	1825	777	0	1144	1288	6219	1386	1409	1575	1635	1156	1133	1366	1088	1316	1184	1300	1355	1219	1410	1266	1092	1143
Ovary	2453	2300	1697	949	1234	796	487	988	1285	1024	1221	1368	711	973	0	439	6040	737	801	1058	920	539	558	740	770	1044	859	1065	1158	1041	1218	1065	959	984
Uterus	2665	2496	1730	1018	1291	908	491	1127	1368	1216	1333	1391	969	1374	456	0	6228	939	1044	1269	1233	655	657	909	812	1183	956	1180	1385	1106	1385	1187	1061	956
Testis	3376	3529	2140	2653	2081	2386	1267	2462	2453	2629	2408	2810	2779	3331	2897	2635	0	2612	2672	2998	3313	2566	2492	2786	1957	2499	2178	2156	2544	2072	2612	2255	1531	1500
ASA	2792	2716	2227	1150	1326	1128	597	1082	1386	1051	1311	1692	1010	1250	733	889	6591	0	1	1	254	79	20	369	740	1179	838	977	1124	1033	1119	1097	1088	1067
ILB	3023	2927	2289	1266	1455	1295	673	1171	1416	1168	1363	1912	1151	1419	1230	1281	6849	1	0	0	325	75	19	385	772	1169	845	1057	1311	1073	1274	1073	1222	1280
ULB	3006	2919	2278	1305	1481	1263	637	1267	1505	1204	1440	1915	1236	1532	1202	1309	6719	8	0	0	364	95	31	410	836	1291	965	1145	1422	1166	1376	1163	1217	1204
GOM	2824	2494	1960	1083	1367	1044	531	1116	1313	1082	1229	1603	870	1161	880	1054	6544	156	133	165	0	37	27	386	781	1148	885	1078	1311	1103	1218	1062	1074	1032
MAD	2777	2767	1958	1003	1218	968	513	1023	1184	908	1171	1564	775	1002	573	753	6496	91	57	80	80	0	11	177	662	1076	732	888	1066	951	1043	995	1035	1021
RAD	2654	2604	1957	982	1181	934	574	939	1132	923	1076	1525	788	1006	506	721	6409	22	13	18	74	16	0	198	577	917	616	816	949	867	938	929	1063	1041
PAD	2601	2492	1898	1151	1153	965	550	699	884	547	851	1470	863	1096	546	741	6355	193	125	183	272	74	89	0	537	870	639	743	835	799	902	843	1023	1037
LIN	3120	3122	2251	1371	1453	1241	666	835	857	803	804	2032	1219	1612	921	1105	6830	827	831	1108	1368	651	544	754	0	164	178	227	261	263	276	196	1243	1221
MAS	2895	2684	2172	1286	1325	1132	671	845	763	811	759	1838	1179	1462	922	1088	6437	954	930	1106	1304	757	636	865	82	0	64	66	74	104	72	59	1170	1177
RHO	2970	2885	2121	1269	1265	1187	651	797	857	756	814	1831	1146	1450	918	1026	6518	528	552	771	936	352	279	479	143	112	0	0	20	6	20	35	1152	1165
TA	3614	3440	2488	1855	1700	1700	920	1117	1123	1174	1115	2349	1700	2210	1839	1806	7122	1192	1288	1489	1825	890	812	1088	213	131	3	0	22	9	26	48	1426	1442
GAS-L	3139	2904	2225	1533	1540	1352	784	944	1009	977	1000	2095	1436	1781	1458	1551	6618	1105	1194	1354	1692	837	811	977	162	105	8	16	0	0	16	29	1273	1306
GM	3608	3642	2476	1788	1720	1741	919	1137	1201	1237	1108	2556	1620	2415	1949	1848	7203	1172	1420	1667	2032	902	793	1114	226	187	6	18	6	0	11	34	1348	1441
PM	3208	2896	2181	1474	1427	1356	783	950	874	1065	837	1958	1363	1797	1524	1566	6643	1151	1190	1362	1521	872	805	989	183	93	19	23	17	5	0	6	1290	1344
SOL	3644	3395	2514	1680	1674	1533	824	1212	1081	1155	1055	2303	1586	2076	1797	1807	7068	1360	1411	1661	1917	1002	992	1279	192	176	50	68	83	86	22	0	1382	1333
PIEC	3915	3498	2267	2250	1879	2065	1188	2397	2246	2673	2228	2707	2454	3060	3169	2674	6571	2527	2621	2844	3217	2432	2464	2695	1859	2217	2075	1943	2151	1980	2227	1819	0	477
PK15	3123	2693	1728	1680	1470	1451	804	1837	1810	2046	1813	1847	1884	2130	1807	1920	6049	1857	1922	2210	2392	1766	1843	2021	1427	1684	1595	1573	1716	1468	1733	1457	338	0
