diff_num	tissue	gene_biotype	group_id
3383	BF	lncRNA	BF_hindlimb
3140	SUB	lncRNA	SUB_forelimb
3129	BB	lncRNA	BB_forelimb
3582	LIN	lncRNA	LIN_head
3388	ISP	lncRNA	ISP_forelimb
6942	Left_Ventricle	lncRNA	Left_Ventricle
3793	SSP	lncRNA	SSP_forelimb
5531	Left_Atrium	lncRNA	Left_Atrium
3609	VL	lncRNA	VL_hindlimb
4279	TIC	lncRNA	TIC_hindlimb
3262	PS	lncRNA	PS_trunk
3150	LD	lncRNA	LD_trunk
4145	SOL	lncRNA	SOL_hindlimb
3117	LDM	lncRNA	LDM_trunk
3261	RF	lncRNA	RF_hindlimb
3433	EDL-H	lncRNA	EDL-H_hindlimb
3854	DAP	lncRNA	DAP_forelimb
3887	RA	lncRNA	RA_trunk
3365	SAR	lncRNA	SAR_hindlimb
3411	EDL-F	lncRNA	EDL-F_forelimb
4188	PM	lncRNA	PM_hindlimb
3825	SM	lncRNA	SM_hindlimb
3838	TFL	lncRNA	TFL_hindlimb
3672	VI	lncRNA	VI_hindlimb
3132	TRC	lncRNA	TRC_trunk
7203	Right_Atrium	lncRNA	Right_Atrium
3212	TB-M	lncRNA	TB-M_forelimb
3038	PP	lncRNA	PP_trunk
3295	DSP	lncRNA	DSP_forelimb
3340	VM	lncRNA	VM_hindlimb
4056	TB-LO	lncRNA	TB-LO_forelimb
3350	FDP-F	lncRNA	FDP-F_forelimb
4279	GRA	lncRNA	GRA_hindlimb
3028	FDS-F	lncRNA	FDS-F_forelimb
3862	GM	lncRNA	GM_hindlimb
2806	FDP-H	lncRNA	FDP-H_hindlimb
3190	TB-LA	lncRNA	TB-LA_forelimb
3695	EDC	lncRNA	EDC_forelimb
3454	MAS	lncRNA	MAS_head
4284	GAS-M	lncRNA	GAS-M_hindlimb
3910	GAS-L	lncRNA	GAS-L_hindlimb
3720	SP	lncRNA	SP_trunk
4187	ADD	lncRNA	ADD_hindlimb
3522	ST	lncRNA	ST_hindlimb
3365	TM	lncRNA	TM_forelimb
3944	FDS-H	lncRNA	FDS-H_hindlimb
3034	RHO	lncRNA	RHO_trunk
6609	Right_Ventricle	lncRNA	Right_Ventricle
4111	OEA	lncRNA	OEA_trunk
4105	TA	lncRNA	TA_trunk
3336	BRA	lncRNA	BRA_trunk
