	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum		6.899891991377309	5.3989724192070945	4.59414949428262	3.7839610310501897	4.989019263380549	4.51020665776218	4.261142235868055	4.317931351996485	4.0710404797409305	3.88827569272595	4.2177101231197405	3.569369298795995	3.9360304503151156	5.916591674397769	4.710896360971765	6.66686594684234	3.8429374118300004	4.03225814119607	3.93033704513646	4.51327310163396	4.10215385454073	5.503987558673401	3.67648093087412	3.85204640263321	3.94759278850518	5.6896413779219905	5.920088797190241	5.9729908079838445	5.0285049386928	4.434153494431365	5.85903851026792	6.355232081551889	7.173486586273941
Cerebellum	3.8405588041558847		4.132304865843455	4.77336469227592	3.8625317376748196	4.347742505467865	3.9703298502919604	4.841513297124459	3.98816739893479	4.6940016202464	4.074111314174949	4.96446240852759	4.45131814599425	4.08751345307269	5.9503411376149105	6.2021469353392895	5.955296156855135	4.854703803047951	3.84074721145117	4.335298080306695	4.653760807428156	5.337182289635219	5.46504882977719	5.056337863453525	5.10251076435922	4.8837419141693	6.452464810402945	5.49043627384605	6.523041805965231	5.1077635426931245	6.035681273459585	5.2777390446250445	5.99091720369078	6.15914675845233
Retina	4.389778660195545	3.939290199914745		5.63589350337433	4.681643297872984	5.788207105742375	4.5610372326340105	4.973949887486651	5.354800456714745	5.290103543819975	5.104216078285106	5.865101009088041	5.738782715257651	5.02497369901642	6.0486768105284	5.96506318947917	6.50494215437963	4.572193080556559	4.885584734255129	4.235304599053255	5.23869563126882	4.76745742485703	5.85237464238115	4.214440724978029	5.7280829140624805	5.55387463187948	5.768317180303709	6.011059513685305	5.890561206689609	5.85204761370901	6.129861029347265	5.93452545734025	6.498771934770445	6.5686807318099145
Colon	5.211362224159605	5.5371098021782394	4.53927903024024		2.8152893545297397	4.566113247949315	2.14261213534843	4.464942905698605	2.8943983336768504	3.7197411636427646	2.59862740121327	4.72892556014113	4.035241439888545	2.21944285538304	3.6880943161251896	3.9188408582671155	5.8879563911335495	6.106088687922584	2.8232247942620647	3.26091140611377	3.50380581901363	5.329655176399555	3.88834207847745	3.40089011854037	3.53444289803057	3.6796368448809	5.90143181702677	5.567580392956295	5.2546370424328845	4.641104653298675	5.164763778162275	5.85922325168753	5.1641249602343	5.0433205211488605
Liver	5.4291366238328	5.583552558400395	4.74886783385857	3.66420182608995		3.1761526092194505	3.42042475311498	3.5438241786191402	4.344588913640695	4.68389976719566	3.9103946233518303	3.935005684294405	3.425078985961965	2.75890465003573	5.28968608790059	4.980383295131205	5.79489518319159	3.60206838247107	3.07192296799936	3.7795479188799	4.52477525480192	3.71119238357827	4.747748294373309	3.467228373714	3.58427045541861	3.4045362794423997	6.034604830260075	5.85864796939417	5.921697894684675	5.369700515862251	6.000037790708935	5.6322686274517	5.33004467800093	5.344585475731
Small_Intestine	5.2966050599624594	5.689766130793611	4.784684591589745	5.05584259476354	2.56249734892349		2.557489637538195	3.66455829767425	3.7398220515315597	3.973256393002125	3.227881661840695	4.944673897653225	4.31508224171426	2.6074882992469153	3.78747430365099	3.78743497503372	6.230636494775079	3.3690663284222153	2.4341933294489304	2.862525142092145	2.42171762958291	3.5792482499850102	3.08828165028013	3.3669860787784898	3.6870459696921003	3.7135340092669398	4.69048879417151	4.2212652581461905	4.607401207942974	4.485578439293786	4.27327122595197	4.1349387474767205	5.2269339445239	5.0389711575118605
Stomach	6.129581142050606	5.8068603881140195	4.8934347514954	7.05156653246684	3.86564054915811	5.644413993036254		4.14141153412246	7.05183845841599	7.10031516743973	7.05256533881241	5.654095727879361	5.100675193080935	6.22859410662652	5.504986119904691	5.1281136273293555	6.479456056126129	3.06298713317313	3.9496285824216097	5.860931545016401	7.38190195173795	4.08701602347011	6.88629032187605	7.00707249993085	4.32661212914196	3.934574660024805	5.589360855465095	5.407061171597659	6.43014574880224	5.33521654774735	5.763926719537205	6.904846661402921	6.0457766836328695	6.2000212265932
Left_Atrium	5.5268676607188	7.189877136797381	5.298401358989455	6.1638683043865	4.463478373111379	6.981233676033015	4.2316250474717005		11.003609915340817	0	0	6.463434843181171	6.468711641683045	3.7212411604490603	6.200390713649259	6.92801378719393	7.11868729722625	5.25041479936888	4.722987326517565	5.28324483992359	5.04890545883014	4.383117140483041	6.50081769320868	10.8195740176142	9.501395291195884	9.16552359819622	6.259739994773825	6.094884377202136	7.918465634436985	7.8540584095387995	7.8168609065144805	8.52813389108168	5.5993735791613695	5.907093621806885
Left_Ventricle	5.220236974656426	5.36770250810771	4.81237757414108	4.4012448105528605	3.89911939667292	4.62155559481216	4.3073988695776055	0		9.5468280276465	0	5.59137321074744	6.266641473027871	3.2371175762838	6.12814300546422	6.479669509606509	6.36412105803091	3.682750637047585	3.43818285351566	3.671672848379315	5.213108096801216	5.74394359397889	6.509287878380925	7.91911659017407	6.790378442181059	8.026759712876409	6.93989366850575	6.849581430942406	7.257156248044165	6.5068666187679005	7.060402123294541	6.92553791856091	5.47555205241791	5.6311416861879495
Right_Atrium	5.36585693857911	6.397267767649765	4.52777840583904	5.566426993180446	6.96297961463369	5.696942879121215	3.8646567570775403	0	9.416719340144551		10.141694267121801	5.89802072541374	5.24925881847437	3.87409508814263	7.8625287079178	6.196969745133081	6.956502043025744	4.96480309440716	4.52209559505882	5.26863231176593	5.75543864771868	4.393513405081356	4.880950117147475	0	10.834154832520035	10.93020630354815	9.5531204222153	6.288912123566	7.32032807428099	8.045459090365856	7.48183135569904	6.440472126550285	5.650514807361491	5.471692019089919
