	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
LIN_head	0	11	5	3	3	5	4	7	7	7	5	10	18	13	4	11	3	8	21	0	5	24	8	5	15	11	15	15	10	11	8	7	5	10	16	5	10	5	6	21	6	15	28	9	16	8	11	4	14	0	7
MAS_head	4	0	6	3	2	3	6	5	10	8	5	11	12	6	3	9	6	10	19	0	5	16	7	8	13	7	13	9	7	12	8	4	5	7	11	12	10	4	7	12	4	8	16	8	10	9	6	12	19	1	16
BB_forelimb	5	6	0	1	1	2	4	3	0	2	1	3	5	3	1	4	2	3	5	0	2	5	6	1	9	6	5	5	4	2	3	2	2	3	5	3	3	4	3	5	3	5	6	3	7	4	5	7	17	0	15
DAP_forelimb	3	3	1	0	1	2	0	1	2	0	0	0	2	0	2	2	0	2	6	1	0	2	4	1	7	3	4	3	4	2	2	2	1	3	4	1	3	3	1	3	2	3	5	1	4	3	3	12	14	2	14
DSP_forelimb	2	2	1	0	0	0	0	0	1	1	0	1	2	0	0	0	0	1	1	0	0	2	2	0	3	0	2	1	1	1	3	1	1	2	1	3	1	1	2	1	0	1	2	1	1	2	2	4	15	1	8
EDC_forelimb	3	4	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	1	4	0	0	1	2	2	7	0	4	1	2	1	0	0	0	2	0	0	2	1	0	1	0	0	1	0	2	1	1	13	24	2	18
EDL-F_forelimb	2	5	3	0	1	0	0	0	1	2	1	1	3	3	1	2	1	2	2	2	0	2	3	4	9	1	5	2	1	1	2	3	2	2	3	2	4	2	2	3	1	3	6	1	3	2	4	14	21	3	14
FDP-F_forelimb	2	3	0	0	1	0	0	0	0	0	0	0	4	0	1	0	0	2	2	1	1	2	1	4	8	2	4	3	3	2	1	1	1	2	2	2	4	3	1	5	1	3	3	1	1	2	2	15	17	2	19
FDS-F_forelimb	2	5	0	2	1	0	2	1	0	2	0	2	1	2	1	4	1	1	4	0	1	2	4	2	6	2	4	2	2	2	1	1	2	6	1	2	1	1	2	3	1	2	3	3	5	2	1	7	15	0	10
ISP_forelimb	2	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	2	0	5	1	5	1	1	1	2	2	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	12	17	4	11
SSP_forelimb	10	12	12	5	6	8	8	12	7	8	0	14	14	9	7	9	4	10	12	3	6	10	13	12	18	9	14	11	10	14	16	9	7	10	12	12	13	7	12	15	9	9	15	8	13	13	13	24	32	6	28
SUB_forelimb	7	4	0	0	0	0	1	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	1	1	11	1	6	1	1	1	3	2	2	2	1	1	2	1	1	1	2	1	2	1	3	1	1	14	21	4	25
TB-LA_forelimb	10	7	3	4	2	1	4	2	3	2	0	5	0	3	2	5	1	7	7	0	0	5	6	5	7	4	4	3	1	4	4	3	2	6	4	2	4	2	1	5	3	2	7	4	3	1	4	15	23	0	32
TB-LO_forelimb	7	3	2	0	0	0	2	0	3	2	0	1	4	0	0	1	0	2	5	0	2	4	3	2	11	3	6	1	2	4	3	1	2	4	3	3	2	1	2	4	1	3	5	3	2	2	3	16	17	2	24
TB-M_forelimb	3	1	0	0	0	0	0	2	2	0	1	0	2	0	0	2	1	0	0	0	0	0	1	1	8	0	2	1	1	3	2	1	2	1	1	1	1	1	1	2	1	1	2	1	4	1	1	5	10	0	15
TM_forelimb	1	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	1	1	1	8	0	4	1	1	2	1	1	1	1	1	2	3	1	2	2	1	2	2	1	2	1	1	14	13	3	17
BRA_trunk	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	1	3	3	4	2	2	2	2	2	2	3	3	3	3	1	4	3	3	3	2	4	9	15	2	16
LD_trunk	2	3	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	1	2	2	1	1	1	0	1	1	1	1	2	0	1	1	1	1	1	1	3	15	0	14
LDM_trunk	5	4	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	2	1	2	7	1	3	0	0	2	3	1	0	1	1	2	0	0	1	4	0	1	0	1	4	0	1	10	23	0	21
OEA_trunk	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	2
PP_trunk	4	2	1	0	0	0	0	2	1	0	1	2	0	0	0	1	0	0	1	0	0	2	0	2	6	0	4	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	7	16	1	13
PS_trunk	9	5	1	1	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	3	0	6	0	2	1	1	3	5	0	1	2	0	1	1	0	0	2	0	0	2	1	3	1	4	6	24	0	24
RA_trunk	4	2	0	0	0	0	0	1	0	1	0	1	3	1	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	1	0	0	2	0	0	0	0	12	19	1	18
