	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum	0	96	106	175	170	164	123	187	173	244	190	199	184	182	191	197	247	136	136	143	166	162	168	175	203	146	162	223	209	201	216	199	369	246
Cerebellum	140	0	128	74	63	78	158	20	56	26	44	66	67	60	43	55	105	42	62	44	31	39	38	28	52	48	35	43	31	47	45	51	412	298
Retina	127	142	0	203	168	169	149	180	210	224	228	176	175	190	194	185	272	158	175	167	189	165	182	182	192	163	192	224	242	229	237	233	373	239
Colon	313	126	231	0	50	13	75	27	46	23	29	42	29	28	43	44	169	11	27	13	11	4	24	14	54	74	57	60	42	60	69	51	422	310
Liver	303	181	269	63	0	67	159	32	61	36	56	71	63	45	44	65	175	27	45	37	25	24	32	42	70	86	67	65	46	60	87	54	433	294
Small_Intestine	323	163	259	5	96	0	35	39	49	27	39	49	30	31	59	57	181	29	49	26	15	7	35	25	61	74	63	67	52	76	68	70	467	321
Stomach	211	182	139	69	97	85	0	113	129	101	117	126	101	121	99	125	237	104	111	69	74	58	87	80	124	121	137	173	166	159	192	155	326	223
Left_Atrium	298	41	211	36	31	51	123	0	1	0	0	45	44	18	18	43	89	4	15	9	4	3	4	1	3	13	7	11	4	18	14	11	464	301
Left_Ventricle	324	119	219	54	58	69	103	0	0	1	0	65	50	27	53	60	160	23	37	28	20	8	20	3	5	14	15	13	17	23	27	23	464	305
Right_Atrium	253	42	195	29	29	38	87	1	0	0	1	38	23	12	7	28	92	4	13	4	5	0	2	1	3	8	10	5	6	13	14	6	364	280
Right_Ventricle	352	85	215	40	39	48	88	0	0	1	0	60	44	25	30	62	158	10	20	13	7	7	9	0	3	9	13	19	12	26	31	19	501	340
Kidney	271	123	241	35	31	51	90	31	50	29	47	0	32	23	25	55	173	18	32	22	13	15	19	32	58	55	58	44	33	54	54	36	459	265
Lung	328	122	272	29	46	38	111	36	63	34	54	49	0	26	43	53	162	12	36	33	12	3	27	38	61	81	65	63	49	71	69	55	490	329
Spleen	313	122	209	43	43	59	118	21	46	22	30	50	33	0	50	58	187	21	31	19	27	18	28	14	31	41	46	49	39	53	74	40	471	256
Ovary	285	59	214	26	27	46	112	14	42	11	29	20	10	12	0	0	105	1	9	4	3	1	6	3	23	40	23	27	16	25	38	26	423	273
Uterus	252	77	203	27	66	26	88	25	46	28	43	29	18	27	2	0	147	9	18	10	8	5	15	12	35	69	56	55	31	50	76	43	434	285
Testis	344	160	246	141	132	150	195	114	140	109	141	147	147	149	129	156	0	107	158	128	111	89	120	109	132	147	133	142	120	152	151	141	492	318
ASA	302	91	236	25	19	32	88	6	25	6	9	38	22	10	8	31	92	0	2	1	3	3	1	2	14	28	20	15	11	23	21	17	450	285
ILB	338	130	271	43	43	71	82	16	37	16	29	66	42	23	32	57	155	1	0	0	7	4	5	2	29	55	49	34	25	62	60	33	479	342
ULB	317	82	244	35	35	43	107	13	33	13	23	47	38	13	18	50	126	0	0	0	4	3	2	1	19	42	33	31	22	37	44	31	488	338
GOM	300	53	237	23	18	40	83	11	25	14	13	32	20	15	20	28	100	1	3	3	0	1	3	0	15	30	26	20	15	30	26	23	440	284
MAD	290	60	248	8	22	19	84	9	18	8	10	32	6	16	13	12	98	2	2	4	2	0	6	2	10	28	16	24	17	34	22	20	437	299
RAD	328	70	233	36	25	46	102	9	24	9	10	29	31	10	21	38	107	1	3	2	3	0	0	1	7	26	20	16	7	23	20	16	440	290
PAD	265	30	203	24	25	31	92	2	8	3	1	41	26	11	16	25	96	0	4	0	1	2	3	0	4	20	7	13	10	17	20	21	435	293
LIN	289	70	226	43	28	52	113	3	12	3	4	51	33	24	24	34	109	4	17	8	12	4	5	3	0	8	6	5	5	11	9	3	414	326
MAS	305	112	231	67	41	93	169	8	20	6	11	73	57	45	53	60	135	19	28	18	20	16	11	9	1	0	7	3	4	13	7	5	445	321
RHO	303	53	224	50	34	70	143	5	14	5	12	47	42	23	21	41	116	10	20	11	9	2	6	2	1	4	0	2	2	2	4	4	423	308
TA	299	116	261	57	34	73	121	9	14	6	11	60	53	47	40	51	149	4	24	13	9	5	1	3	4	2	1	0	0	1	0	2	453	318
GAS-L	337	93	251	48	31	63	136	4	12	4	11	53	49	30	28	42	145	8	13	12	9	2	2	4	0	2	0	0	0	0	1	2	450	310
GM	329	111	247	57	37	62	142	6	19	8	16	46	52	45	20	46	160	5	20	7	7	4	3	4	1	4	1	0	0	0	0	0	463	355
PM	316	117	260	58	38	87	137	13	14	8	19	61	62	43	58	73	152	7	35	15	12	4	9	10	2	3	1	0	0	0	0	0	470	324
SOL	322	104	241	51	34	59	117	7	14	8	11	52	41	29	29	53	151	9	19	9	13	6	4	3	2	3	0	0	1	0	0	0	463	307
PIEC	301	307	208	209	186	185	132	223	236	259	246	234	201	210	256	249	235	181	202	198	239	198	225	220	246	209	222	244	234	239	253	250	0	149
PK15	249	269	222	188	198	185	153	208	240	261	249	237	209	237	239	254	280	182	188	197	226	189	221	223	230	195	224	241	234	228	245	239	146	0
