tissue	diff_num	gene_biotype	group_id
ADD	97	miRNA	ADD_hindlimb
BB	74	miRNA	BB_forelimb
BF	92	miRNA	BF_hindlimb
BRA	69	miRNA	BRA_trunk
DAP	74	miRNA	DAP_forelimb
DSP	64	miRNA	DSP_forelimb
EDC	86	miRNA	EDC_forelimb
EDL-F	91	miRNA	EDL-F_forelimb
EDL-H	117	miRNA	EDL-H_hindlimb
FDP-F	100	miRNA	FDP-F_forelimb
FDP-H	87	miRNA	FDP-H_hindlimb
FDS-F	69	miRNA	FDS-F_forelimb
FDS-H	72	miRNA	FDS-H_hindlimb
GAS-L	58	miRNA	GAS-L_hindlimb
GAS-M	92	miRNA	GAS-M_hindlimb
GM	115	miRNA	GM_hindlimb
GRA	95	miRNA	GRA_hindlimb
ISP	75	miRNA	ISP_forelimb
LD	85	miRNA	LD_trunk
LDM	104	miRNA	LDM_trunk
LIN	128	miRNA	LIN_head
Left_Atrium	118	miRNA	Left_Atrium
Left_Ventricle	171	miRNA	Left_Ventricle
MAS	111	miRNA	MAS_head
OEA	21	miRNA	OEA_trunk
PM	103	miRNA	PM_hindlimb
PP	78	miRNA	PP_trunk
PS	108	miRNA	PS_trunk
RA	95	miRNA	RA_trunk
RF	62	miRNA	RF_hindlimb
RHO	79	miRNA	RHO_trunk
Right_Atrium	34	miRNA	Right_Atrium
Right_Ventricle	169	miRNA	Right_Ventricle
SAR	71	miRNA	SAR_hindlimb
SM	145	miRNA	SM_hindlimb
SOL	65	miRNA	SOL_hindlimb
SP	112	miRNA	SP_trunk
SSP	107	miRNA	SSP_forelimb
ST	108	miRNA	ST_hindlimb
SUB	102	miRNA	SUB_forelimb
TA	87	miRNA	TA_trunk
TB-LA	137	miRNA	TB-LA_forelimb
TB-LO	104	miRNA	TB-LO_forelimb
TB-M	66	miRNA	TB-M_forelimb
TFL	147	miRNA	TFL_hindlimb
TIC	84	miRNA	TIC_hindlimb
TM	84	miRNA	TM_forelimb
TRC	118	miRNA	TRC_trunk
VI	119	miRNA	VI_hindlimb
VL	98	miRNA	VL_hindlimb
VM	99	miRNA	VM_hindlimb
