	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
LIN_head	0	1.5554283798419453	1.6597395897492702	1.94489300183398	1.7478825234043898	1.6644012950075748	1.6437773178347748	1.62114120369645	1.7001891564868852	1.725099378276405	1.699806898612735	1.6486437538749399	1.6817776766258001	1.5840720640656252	1.55353950040752	1.56909727001762	1.73458214861568	1.726379230203355	1.7272999711519752	1.665946944679695	1.797717340452925	1.6943041747274252	1.64151079075403	1.72643466624621	1.6324197231913051	1.65428968333999	1.6606726639988998	1.796633896979265	1.5695055929926598	1.6381793496432902	2.62897084583482	1.9343364064348751	1.7055840838697498	1.9047284244189449	1.63718850832186	1.8168821443829	1.63141258846398	1.60244737674393	1.58702579790389	1.591996735337435	1.6036561494826598	1.64964051777637	1.7398398944813298	1.93183271728832	1.80412407725609	1.60701286474628	1.70402091031374	2.08499049605414	1.9577311918243	2.08669398802401	1.96713391734142
MAS_head	1.97374100653266	0	1.89331547905432	2.02443615223465	1.9921234424091003	1.9448305231239749	1.66000910554451	1.8188053753073998	1.82235576450625	2.11053562695363	2.04552993746713	1.62003787250579	1.8371530343782698	1.561705715815835	1.65989999533588	1.76297120209355	1.9110815945826205	1.916869879413745	1.8972973217689952	1.9079104756431	2.23541631113804	1.7824528199606202	1.70098022721662	1.9475524470446	1.77659676578619	1.9435449543963	1.9403998201139	2.05213842068959	1.721859827025455	1.742123951169725	3.11203382173984	2.34516928778263	1.8920814306300149	2.124526628056575	1.73794595404842	1.9823033787169553	1.8161456680568304	2.05291890306635	1.650652746208955	1.81881108865199	1.65642864957491	1.91802814124785	1.855976068480385	2.01532194809469	3.0342523814739	1.59830713639972	2.15470298282428	2.06857048662384	1.91600682609283	2.0024689599168357	1.9983383963940704
BB_forelimb	2.07040952270355	1.6447130842908702	0	2.63042515100688	2.4432186666477547	3.361380260658376	3.52351354769516	4.38748196977065	3.85069863180341	3.2370356121362596	1.650689285977875	7.740095889961231	2.205566482779675	1.46846721051532	1.94678805683561	1.49435957138723	2.51281172688704	2.13596071100887	2.28460011444631	1.792840237305235	2.88598256638931	2.220965006881385	1.86678040804606	3.31185655518144	2.0124814342240103	2.0681470692307498	2.16642047469282	3.360829641607629	1.7446875358211846	2.7766380044379897	4.016185939950555	3.597991395249285	2.755563949306105	2.3035311483197947	4.37388331140825	3.57555445045754	2.96176340952412	5.226484944810481	1.95656925281446	2.04178384854024	1.44879353592123	5.684610180677391	4.0217295386522505	3.2618968233743195	2.9540706071093554	1.4549561053987905	4.594437531622732	2.10471554567327	1.8274791758682951	2.0417125516248302	1.88978019465822
DAP_forelimb	1.787408514663	1.5128726248754052	2.38712578002918	0	0.0	2.2866789787708997	2.42393849681972	1.90283633325694	2.13243508741684	1.78827467015581	1.50127546862475	2.59693081418072	1.8212683735899	1.977529720416465	1.5636312912506003	1.42083463593891	2.5618433333585497	1.779175100758085	1.79319343721608	1.7892549440233598	1.8640325052380349	1.5918011964644	1.47319543161121	2.57255365372306	1.82370875743552	2.03519670187751	2.081046438316645	1.6742383190565602	1.49312848370494	1.7626650370569998	2.3802094927653146	2.17513708447622	1.8172271694295001	1.9124729503196696	1.51525751258169	1.881250576666795	1.48279251486968	2.10432977515977	1.6788118343340048	1.6984991088054948	1.44944783137254	1.34159213386077	1.4819554861538702	1.7227318693264395	1.8006964713566798	1.5255014246623102	2.34132444712476	1.958385508508175	1.7112230828556698	1.84425391938842	1.7485068926777052
DSP_forelimb	1.84250487393911	1.56179565013816	2.8941202435236955	0.0	0	2.34133796062149	3.1364530130003	3.30290300858646	2.31199761613555	2.835150184567365	1.6980323904518602	2.6846509711395448	2.18291072854029	2.05465201687142	1.4854986109552095	3.488549860632816	3.0892077487329304	1.97156947538032	1.9770725398548248	1.77176020307812	1.71962668787193	1.97503004054259	1.56316660094718	2.545504669522875	2.12737808529546	2.0220772309007202	2.387092567972995	1.83942199525682	1.6741533222955451	2.4090597367875155	2.5753993743405497	2.1414188018135203	1.97882990589752	2.014849154296625	1.7804072978951302	1.94028441824377	1.55032375311626	2.7964825318312205	2.086800644664875	1.83889613456431	1.42139803931568	1.7024066271074398	2.12290531587735	2.81886809250492	1.930953588734785	1.80991126034494	2.5993061719329504	2.02900273897005	1.768785213191375	1.9270910039543	1.7853449145754
EDC_forelimb	1.80774755322988	1.48488713200409	2.1734508383299147	1.79616773114894	2.042943866534195	0	0.0	0.0	2.3804314158042503	1.8046283834231496	1.667052299779	1.51723900647427	1.96170094564933	1.4494216611462	1.83423871043991	1.9698921887216498	2.20213041794049	1.9109506166142152	2.01093897249453	1.7003647291883452	2.28908704374104	1.76226414746506	1.6530049815759549	2.15877523455837	1.82165749222902	1.8167806834158848	2.03102849647832	1.87701167654568	1.5244438287963995	0.0	3.0176185944848504	0.0	1.893713388199225	1.7090670915966102	1.5474193457291103	1.5572938979008202	1.487692705009425	0.0	1.789298486632905	1.6364436916206797	1.30224530122069	1.5822719110989951	1.79352123057946	0.0	1.6821600066243798	1.5747283904978149	1.70770105954881	1.96828870451493	1.74506241788988	1.85221141374201	1.79258833516273
EDL-F_forelimb	1.7563454085010448	1.42936762067256	1.72733696747027	2.0208317607088553	2.2470835327897047	0.0	0	0.0	1.77031231874903	1.876223132479125	1.67879456409481	1.7919459092758605	1.59015483661991	1.6367097931044998	1.92839872749876	1.6183530318156	2.3160259901868847	1.91222791521375	1.795837513794825	1.70244809777379	2.5744481950600497	1.6401041106239354	1.5181257298731747	2.3065324891841	1.8028675021025105	1.7583613892038752	1.88177430778378	1.9287134507383048	1.6936766549223448	5.190996047524295	2.78646267205248	4.63418836598772	1.62281720545479	1.82417688823975	1.48872381652875	1.77611490648244	1.28615010746627	2.6944221213385497	1.27840430345012	1.5413106434461599	1.280860670084345	1.41633006336184	1.836446998029145	5.46884050832604	1.9128157291978551	1.5474584783986398	2.45612060361084	1.9104136977794	1.723336998446955	1.88392281321215	1.73714134898096
FDP-F_forelimb	1.93539953941624	1.51679881701516	1.8968271839215047	2.0840572533590347	2.27304461893611	0.0	0.0	0	2.638480685657315	1.81576495244125	1.46178364903727	1.4861335223556498	2.1146181421381502	1.911015392586015	1.63568109115972	1.5412333234453797	2.4756899013438702	2.323088024433445	2.1963046264364903	1.85607032208706	2.6959823915992795	2.0477552651181297	1.6817513525284251	2.51289357614594	2.0423538477561403	2.017472364277165	2.16681865858293	2.09972098482891	1.66389113116709	5.906556263027659	2.28003322897798	5.530287801134748	1.6923801108588603	1.94751709074579	1.5972017408543602	2.0161212222932	1.6034610907474598	6.36504913701862	4.060395031938334	1.93454857295713	1.41218342280605	1.77442544812254	2.41413829562975	3.1274119079612497	1.5099738787466397	1.7545459968104398	2.64826207997248	1.979179387590935	1.80412031318995	1.89964590941668	1.8012213114719149
FDS-F_forelimb	2.24987823289078	1.7137243552995198	2.88282109216807	2.37389844610962	2.1941842688989897	6.23355850113388	5.27373992956643	3.185669726575325	0	2.1068288908696253	1.7090166312403798	2.00373693554648	1.8171577322982648	1.5904787902557451	1.6682507583702098	1.63682222800844	2.44580765738697	1.9107936997104695	2.25265106700423	1.77623619476714	2.34373347836786	1.8650146601471103	1.7515277510232898	2.5324736365563703	1.7798286343838603	1.81885106441749	2.025295474074135	2.696929726318115	1.76261388803791	2.54492934708925	3.11334472076393	3.8053157911403694	1.99652616305582	2.23287335148471	1.7242027096882	2.8525468996748096	1.9411492250424696	4.147299348207181	1.52574998640547	1.90827627216455	1.42622980508847	1.993033654654	1.95852344234064	2.9350529870388247	2.6667008742451297	1.7064328274506	3.2662303760962303	2.06191569000364	1.8209302966418501	1.93887141695702	1.84647048785644
ISP_forelimb	1.69062307412494	1.523931950386015	3.526975452600625	1.5050132647308805	1.70444106821082	1.92638872191677	2.147518795130789	1.67398981812835	2.02855063785216	0	0.0	2.62742163837328	1.4021537879097352	2.11475359828951	0.0	0.0	2.5828832892697404	1.6408241710653702	1.86011387898502	1.544281619437	3.5569575210626354	1.6312749560112747	1.83786654830556	2.08058377586158	2.74844124578282	1.75786681524714	1.65058978284017	2.2835277654153696	3.8414609976523297	1.80068489411987	2.228953435165629	2.348083820711516	1.8869258157313349	1.9515594547074453	1.40532086864829	1.45981984716451	1.62298000276636	5.860389040154869	1.610893396136885	1.6365209044526898	1.372883691116805	4.07835429350142	1.7001943351991102	2.03041206464273	4.6642091063457904	1.75411231039185	5.95754687927259	1.8997920016302	1.68025253700756	1.811991154063735	1.72014217456501
