	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum		1.65485336469256	1.7410749095851898	2.5427288663174155	2.38073898938448	2.4930599595666347	2.59044917603973	2.078859618009425	2.05429163329552	2.12247189341437	2.05821363494037	2.20415532720359	2.67136536363302	2.504981338864105	2.36936754289454	2.22770912581224	2.95819803058699	2.20216922883183	2.1959990306504698	2.1474215276640702	2.29013443557932	2.26680106599224	2.21258994442606	2.14604780427887	2.2175079132864703	2.103700199622205	2.08575990315765	2.02274464316493	2.089231902457895	2.0645386896441997	2.0677129482192003	2.10208499388518	2.2343219031196297	2.28860156522341
Cerebellum	1.76693097610279		1.78393578285365	2.66489829414047	2.514144305468275	2.592534346053305	2.7207360196337	2.19183751529538	2.1970661064617847	2.33544898681694	2.1991092323048003	2.30434350305039	2.82290550026283	2.5997449367853	2.5277245569969446	2.350094858617595	2.986961432970835	2.376769453245185	2.3776905670023702	2.373313804189285	2.5277187103149252	2.45154351585912	2.41357582481456	2.3699940673780953	2.347445848688575	2.21944198516452	2.2091241248392297	2.15638497273016	2.20790706811891	2.205659671903505	2.1661345413229505	2.23484464323618	2.3201615917511953	2.35182600731782
Retina	1.9885190294960702	1.845857571408165		2.858863401934645	2.712848931961375	2.7773295737616404	3.0717100962982005	2.3724566163507403	2.32248055536037	2.56530130056077	2.32612035657276	2.49505377661194	2.987516450173805	2.71019579902576	2.8623422947539647	2.7087622450244098	3.12171216135314	2.59665714979207	2.6071770056094703	2.5836945204879447	2.65755733264557	2.676003986029265	2.66339233780461	2.5711339409048604	2.5517260394568195	2.45293132131767	2.4910997183883903	2.3485391655567147	2.4273503563631698	2.32393099236884	2.37630472958143	2.41007559016821	2.45727071805925	2.65046842502489
Colon	2.8039700327765096	2.65424244393308	2.6083433784178798		2.1839620651509897	2.0032329983576247	2.5441599376571906	1.91460615740961	1.9045793653712448	1.9069921262357	1.91388047822532	2.1375979971103702	2.15720024025767	1.8476008328586702	2.3485798147798795	2.1445378024509	3.2179748435212003	1.8921717348099198	1.9119160389430352	1.89618599940539	1.816342580694895	1.8742481539070701	1.9310285359201202	1.9221893996076398	1.97939075791807	1.9650612426951497	1.9393750547278499	1.87568887660346	1.960633114393055	1.92395619470359	1.94355948453765	1.9031426392297748	1.9858147582869399	2.09820683487085
Liver	3.156964509520945	3.01305965459893	2.88955636726889	2.30256123577729		2.36911564185914	2.6425670595278596	2.37361635269736	2.2266181664372047	2.3433348069062	2.22535157733115	2.3940038166823996	2.2443368955992	2.22835862317808	2.70719626072541	2.66540559469455	3.54454238465956	2.1676271631906197	2.1711542373481003	2.18614347851988	2.16435736920306	2.2189734199854803	2.220279234988305	2.5089287672700396	2.465917756560195	2.2903244115619996	2.32334824939998	2.22782934097508	2.3537581941944747	2.2060059604166202	2.20937695925719	2.2064329247640297	2.3753156585692703	2.565251422885045
Small_Intestine	2.8334975326376446	2.66485007956543	2.6577196547072752	1.6237557086878351	2.1544325981733747		2.3800199229021253	1.9690999547324801	1.91102188851736	1.964652863211815	1.94553060001716	2.0877951659816496	2.06510891771437	1.8892892900092901	2.260073998013895	2.11224196593577	3.1732324206181097	1.9722941139758101	2.007314139149975	1.98221990222723	1.89179841671485	1.9575210953986002	2.005473662281675	2.0286729025249497	2.03315119399475	1.9372919350792	2.0114913178280402	1.89888779020729	2.017470188215165	1.9606357915559098	1.972784001109165	1.94059097142232	2.0566481656621702	2.12767443197322
Stomach	3.7855656559265602	3.57280464686234	3.6213467746207595	3.143118655231855	3.2091925805301997	3.48182448081186		2.95082035774409	2.5874212047762946	2.878255150300575	2.61943482115728	3.3138415987275	2.978275129508465	2.8321389890572046	3.3721932417105003	3.22452969188456	4.045423371306001	2.68083509421624	2.6067713513718602	2.63825251739652	2.57912513609476	2.6271850814984505	2.7234092597689803	2.76989311245726	2.88388281970501	2.825556829693275	2.8860396682558447	2.66484021122977	2.83307688452784	2.621766662059885	2.689864758399855	2.67493335466273	2.630966509454575	3.0009343368303805
Left_Atrium	2.93656599235659	2.8575305817864	2.593434990678075	2.535398124784455	2.36795443873046	2.58434485484884	2.92676863646536		1.55307290875204	1.73271070225281	1.64888086705374	2.4124941329185	2.6977371951362548	2.670785869947185	2.896404610670835	2.93096814831596	3.41833449405748	1.80975871798004	1.7826913083326799	1.74487626811107	1.82151838543486	1.72039606140463	1.9014034585021	1.96276940032213	2.14885703989694	2.0239951602020705	2.0611240624475	1.87250620435567	2.05156801520731	1.890548402426735	1.9970315671068302	1.82086380776853	2.3887509122360804	2.644962239511765
Left_Ventricle	3.143354701201435	2.971205017954915	2.8092438989807405	2.53220550639863	2.413354921189795	2.57478525657281	2.75168541932949	1.90947471420538		1.78965798675551	0	2.4932985988061898	2.60770672400674	2.47964088198289	2.6519789040863198	2.5923080533582503	3.49558228669309	1.8477385846165548	1.8263381221358501	1.82954392562424	1.79624803678318	1.7809410773195702	1.86414057977913	1.8953053835487501	2.17781231429902	2.10404238513627	2.0685742725567398	1.96662024172643	2.15477024911913	2.029471244227995	2.0938170527566498	1.9668517125967149	2.41679599463238	2.60052394716984
Right_Atrium	2.87137973388244	2.740901577458505	2.54148294723664	2.4033870926585648	2.33764790697065	2.458125106221	2.7102997767608796	1.85414516510866	1.4644987372084501		1.461237796426725	2.446321270595525	2.4461899521628	2.397137390713625	2.65042832616741	2.538650608340165	3.35831161986314	1.857053379773455	1.89485200384455	1.8508391910954551	1.9050430990872849	1.802357180065865	1.9195276194143602	1.914185994756625	2.0419086814512397	1.8908762175443	1.922965442388915	1.7901200887181201	1.9470223481321498	1.7892781613228401	1.90960409160965	1.8162885872668502	2.188772939311505	2.384222674047035
