	LIN_head	MAS_head	BB_forelimb	DAP_forelimb	DSP_forelimb	EDC_forelimb	EDL-F_forelimb	FDP-F_forelimb	FDS-F_forelimb	ISP_forelimb	SSP_forelimb	SUB_forelimb	TB-LA_forelimb	TB-LO_forelimb	TB-M_forelimb	TM_forelimb	BRA_trunk	LD_trunk	LDM_trunk	OEA_trunk	PP_trunk	PS_trunk	RA_trunk	RHO_trunk	SP_trunk	TA_trunk	TRC_trunk	ADD_hindlimb	BF_hindlimb	EDL-H_hindlimb	FDP-H_hindlimb	FDS-H_hindlimb	GAS-L_hindlimb	GAS-M_hindlimb	GM_hindlimb	GRA_hindlimb	PM_hindlimb	RF_hindlimb	SAR_hindlimb	SM_hindlimb	SOL_hindlimb	ST_hindlimb	TFL_hindlimb	TIC_hindlimb	VI_hindlimb	VL_hindlimb	VM_hindlimb	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle
LIN_head	0	332	387	879	822	642	648	639	334	802	656	648	730	992	681	917	621	722	972	584	608	806	677	587	1060	645	672	1098	855	918	468	732	592	934	726	959	544	777	1005	780	408	550	1086	842	704	1040	677	1405	1191	1350	1167
MAS_head	392	0	150	609	481	298	341	286	149	224	222	239	306	516	167	353	339	414	592	317	236	506	292	305	536	275	297	609	412	506	329	444	216	628	334	638	220	275	566	363	179	179	644	589	279	528	207	1747	1338	1764	1305
BB_forelimb	437	160	0	283	84	24	26	7	9	14	138	8	4	31	5	24	38	131	124	72	29	44	99	25	65	39	79	215	92	70	132	180	12	418	6	153	17	20	47	17	27	6	43	251	192	34	15	1715	1576	1685	1445
DAP_forelimb	621	266	44	0	0	32	15	17	90	5	121	5	77	20	21	3	8	44	101	44	4	123	164	29	27	52	24	75	85	54	130	91	110	221	107	36	73	15	22	70	149	19	45	29	44	63	47	1812	1734	1915	1684
DSP_forelimb	632	235	22	0	0	33	17	17	58	8	144	4	46	21	28	2	6	17	68	47	5	78	175	14	25	46	8	75	90	44	149	102	115	252	82	25	60	13	14	52	112	14	25	23	64	50	49	1813	1696	1979	1696
EDC_forelimb	572	262	8	103	76	0	0	0	4	15	133	8	42	15	18	16	31	172	193	136	30	170	170	61	54	94	125	41	81	0	4	0	38	82	97	27	128	0	18	95	85	32	86	0	53	42	13	1813	1733	1988	1699
EDL-F_forelimb	570	263	20	102	82	0	0	0	5	16	123	5	81	39	22	24	46	202	264	157	61	256	224	117	94	132	166	72	92	6	35	13	103	132	157	55	180	11	43	176	100	45	114	5	54	73	29	1796	1748	1893	1667
FDP-F_forelimb	497	233	6	118	83	0	0	0	16	9	98	2	47	20	11	9	49	160	184	135	48	155	130	103	44	86	143	23	54	7	17	6	42	104	65	17	92	3	6	82	79	19	47	8	41	23	12	1824	1700	1910	1680
FDS-F_forelimb	327	152	5	281	120	5	8	14	0	82	196	17	44	118	38	139	52	147	200	91	42	148	156	46	191	75	108	284	193	87	210	177	35	383	87	198	74	52	154	75	40	21	225	222	233	173	49	1617	1570	1626	1445
ISP_forelimb	705	162	8	20	11	25	20	15	111	0	0	3	12	2	0	0	9	77	82	73	2	98	55	25	10	37	19	24	9	47	78	34	30	100	69	45	41	7	32	39	120	12	55	27	8	16	6	1905	1678	2048	1637
SSP_forelimb	658	147	77	168	143	71	77	58	154	0	0	17	174	141	14	0	87	269	408	189	30	336	68	162	118	128	126	125	54	177	66	57	125	97	246	209	129	20	206	230	119	74	308	113	4	190	5	1884	1563	1981	1542
SUB_forelimb	632	158	10	72	53	14	14	9	23	1	47	0	58	14	5	0	19	170	183	136	34	164	106	69	29	70	89	37	58	35	55	29	68	121	100	40	32	6	4	97	76	17	58	14	11	35	11	1764	1629	1965	1576
TB-LA_forelimb	737	281	16	230	54	50	97	64	112	16	240	81	0	8	0	16	29	28	16	95	27	20	205	41	17	51	8	176	80	83	221	269	7	645	6	202	32	23	65	3	95	21	37	349	169	9	22	1947	1677	2005	1542
TB-LO_forelimb	928	386	45	29	18	31	33	23	142	4	150	24	7	0	0	6	14	75	49	96	14	36	224	35	12	58	44	10	39	42	153	83	37	300	33	28	82	7	33	9	245	30	20	56	48	5	11	2063	1995	2255	1972
TB-M_forelimb	787	172	25	73	44	26	41	34	140	0	21	21	2	0	0	3	6	104	58	63	7	38	72	45	7	27	29	17	8	50	102	85	8	224	8	95	16	6	44	7	92	12	27	76	5	7	6	1892	1684	2173	1658
TM_forelimb	779	208	14	34	13	29	30	10	131	1	0	1	19	4	4	0	3	101	90	84	1	64	87	29	3	31	48	14	14	43	115	57	49	193	46	29	35	5	8	12	164	8	12	36	5	7	9	1910	1745	2157	1709
BRA_trunk	576	243	25	8	8	42	35	31	67	14	157	13	37	25	23	11	0	17	33	18	22	44	139	9	10	38	18	58	82	50	132	94	83	251	75	31	37	26	20	36	129	20	18	30	67	46	50	1728	1772	1870	1684
LD_trunk	572	258	18	188	16	86	119	71	73	35	208	76	15	70	19	35	10	0	14	20	8	16	128	4	12	23	1	211	96	186	242	286	35	581	8	165	21	48	81	5	74	6	21	338	221	51	75	1774	1601	1748	1487
LDM_trunk	781	448	70	91	57	98	135	90	147	85	394	132	11	27	50	67	18	31	0	145	42	17	274	30	19	88	11	40	198	99	139	124	60	459	10	66	188	18	65	9	451	71	22	167	234	24	87	1725	1870	1998	1700
OEA_trunk	722	320	63	295	145	262	298	210	116	247	327	258	87	242	66	169	50	28	151	0	69	68	41	13	135	3	11	401	236	332	802	510	79	826	78	313	60	170	237	36	175	22	235	494	417	266	305	1916	1623	2078	1587
PP_trunk	477	184	10	3	2	18	20	12	33	0	16	5	17	7	2	1	1	8	24	6	0	15	28	2	0	8	3	5	7	49	28	18	23	58	9	6	32	4	19	5	95	5	19	17	8	9	10	1670	1609	1731	1537
PS_trunk	588	311	20	215	65	123	162	88	90	77	265	115	8	64	12	60	20	5	6	32	17	0	157	11	15	34	1	181	97	166	218	283	24	606	3	157	29	38	79	3	125	14	22	372	282	30	76	1733	1620	1729	1480
RA_trunk	989	321	66	373	235	143	278	95	223	82	101	107	147	168	58	70	73	233	295	48	52	224	0	73	86	32	111	216	112	196	363	318	85	506	145	235	71	61	132	111	286	34	216	519	172	201	98	1991	1712	2273	1614
RHO_trunk	492	270	11	159	22	49	57	40	54	36	186	37	21	50	34	24	4	4	27	11	6	33	84	0	9	11	3	205	103	109	163	192	30	411	16	129	71	46	42	11	139	11	38	251	267	55	54	1655	1630	1590	1505
SP_trunk	939	311	36	20	18	55	87	37	175	8	54	36	22	11	6	7	4	27	12	38	5	18	69	5	0	22	3	16	15	76	175	92	45	288	20	39	47	12	31	15	256	21	16	110	23	13	19	2010	1799	2280	1757
TA_trunk	761	254	50	283	166	202	282	142	108	173	199	212	54	152	33	96	62	24	69	4	30	71	34	10	70	0	10	303	150	254	554	425	46	741	42	235	37	92	167	24	175	17	197	503	296	137	166	1924	1684	2130	1585
TRC_trunk	645	190	16	184	15	74	124	68	84	16	79	61	9	43	10	25	5	5	3	10	5	6	32	8	3	5	0	183	48	158	196	256	32	537	9	200	21	35	59	7	100	8	30	390	167	27	51	1837	1567	1837	1472
ADD_hindlimb	821	328	26	151	108	21	40	19	138	6	48	17	29	1	0	10	34	158	85	133	13	64	97	114	7	68	91	0	0	28	21	14	7	69	5	19	52	1	13	20	165	21	15	34	3	0	0	2106	1919	2139	1834
