	Cerebrum	Cerebellum	Retina	Colon	Liver	Small_Intestine	Stomach	Left_Atrium	Left_Ventricle	Right_Atrium	Right_Ventricle	Kidney	Lung	Spleen	Ovary	Uterus	Testis	ASA	ILB	ULB	GOM	MAD	RAD	PAD	LIN	MAS	RHO	TA	GAS-L	GM	PM	SOL	PIEC	PK15
Cerebrum	0	1157	3569	4634	4552	4848	3736	3594	4109	3968	3865	4387	4685	3972	4078	3851	5666	3871	3909	3861	3803	4105	3897	3668	4307	3926	3839	4109	3766	4269	3803	4059	4969	4132
Cerebellum	2202	0	4013	5199	5106	5386	4251	4484	4846	4739	4744	5023	5164	4363	4826	4602	6004	4528	4473	4424	4338	4642	4583	4278	5034	4691	4535	4657	4420	4720	4324	4739	5424	4774
Retina	3397	2656	0	4784	4490	4919	3507	3899	4287	4128	4214	4502	4814	4308	4018	3707	5457	4141	4157	4168	4077	4240	4101	4082	4372	4041	3907	4072	3907	4203	3877	4287	3973	3342
Colon	4589	3908	4757	0	2883	1194	976	3211	3474	3185	3397	2943	2182	1545	2489	2484	5387	2791	2656	2715	2314	2737	2659	2852	3453	3189	3108	3273	2942	3503	2980	3276	3814	2808
Liver	5166	4531	5317	4115	0	3662	2900	3581	3434	3718	3453	2981	4254	3525	3948	3803	6174	3630	3423	3604	3303	3706	3418	3658	3796	3462	3456	3463	3350	3576	3302	3623	4421	3876
Small_Intestine	4576	3943	4666	862	2566	0	848	3330	3452	3358	3315	2633	2553	1888	2794	2743	5379	3019	2820	2955	2711	3045	2886	3031	3514	3287	3123	3279	3048	3415	2986	3314	3810	2977
Stomach	3211	2663	3063	680	1802	849	0	1491	1820	1536	1743	1453	1544	1284	1599	1451	4296	1391	1446	1485	1197	1311	1355	1415	1777	1594	1560	1733	1731	1960	1646	1675	2290	1656
Left_Atrium	4155	3431	4352	3806	3311	3893	2485	0	522	165	409	3177	3604	2996	2388	2239	5595	2289	2198	2218	2113	2176	1769	1375	1441	1306	1419	1579	1397	1678	1274	1495	3943	3394
Left_Ventricle	4394	3810	4623	4104	3434	4154	2907	982	0	1259	0	3534	3994	3521	3627	3282	5862	2846	2753	2723	2747	2809	2588	2366	1763	1384	1742	1737	1585	1716	1329	1560	4287	3837
Right_Atrium	4079	3416	4349	3464	2989	3563	2351	102	654	0	570	2976	3272	2772	2597	2560	5512	1794	1666	1770	1482	1624	1475	1214	1507	1474	1580	1813	1651	1921	1471	1539	4068	3438
Right_Ventricle	4531	3854	4734	4139	3378	4196	2951	828	4	1088	0	3531	3992	3450	3563	3272	5893	2749	2694	2675	2651	2705	2456	2173	1684	1317	1728	1727	1584	1771	1335	1517	4480	3867
Kidney	4316	3689	4372	3493	2438	3270	2054	2748	2939	2935	2819	0	3493	3007	2740	2542	5523	3081	2760	2964	2584	3120	2842	2917	3222	2921	2959	3110	2864	3188	2784	3036	4057	3191
Lung	4260	3627	4610	2127	3080	2590	1702	2915	3251	2844	3134	2972	0	994	1720	1983	5336	2323	2328	2418	1871	2308	2274	2503	3202	3076	3073	3308	3089	3550	2988	3135	4000	3131
Spleen	5104	4367	5243	3126	3678	3481	2597	3995	3978	4018	3865	4089	2799	0	3473	3604	5750	3494	3519	3543	3174	3638	3482	3707	4177	3706	3868	4103	3723	4042	3633	3966	4525	4002
Ovary	3664	3188	4002	2710	2897	2699	1888	2216	2873	2322	2731	2491	2075	1996	0	834	4629	1870	1755	2068	1562	1686	1578	1617	2609	2572	2408	2917	2607	3015	2677	2797	3548	2891
Uterus	3711	3159	3823	2825	3193	2914	1863	2301	2935	2607	2868	2504	2450	2485	932	0	4948	2088	2169	2327	2043	1958	1832	1805	2744	2627	2507	2990	2720	3084	2742	2945	3853	2824
Testis	5245	4887	5323	5879	5331	5937	4729	5036	5335	5441	5261	5575	5803	5421	5537	5328	0	5066	5211	5136	5153	5488	5372	5333	5629	5315	5113	5196	5088	5237	5140	5372	5921	5154
ASA	4307	3661	4693	3358	3293	3590	2229	2526	2980	2375	2902	3217	3094	2651	1995	2060	5600	0	7	23	510	322	54	1055	2640	2634	2306	2759	2510	3128	2515	2685	3893	3169
ILB	4258	3712	4699	3419	3217	3657	2406	2388	2694	2351	2640	3362	3199	2737	2718	2523	5819	8	0	0	594	317	63	1071	2472	2346	2100	2604	2420	2793	2342	2424	4216	3609
ULB	4348	3786	4776	3610	3482	3813	2434	2605	3022	2440	2929	3461	3322	2949	2799	2728	5762	70	1	0	638	335	94	1113	2781	2649	2357	2919	2680	3082	2624	2658	4480	3620
GOM	4432	3798	4767	3323	3401	3516	2214	2560	3018	2439	2929	3207	2955	2611	2361	2439	5738	511	377	480	0	252	179	1166	2789	2699	2510	3061	2768	3242	2761	2817	4462	3612
MAD	4072	3619	4219	3041	3005	3290	1884	2171	2694	1965	2618	2912	2776	2335	1732	1791	5343	251	160	207	219	0	27	619	2343	2324	2049	2505	2316	2896	2311	2475	3603	2835
RAD	4044	3512	4301	3105	2889	3247	2122	2029	2534	1924	2442	2807	2850	2477	1614	1766	5367	83	50	59	206	41	0	700	2110	2126	1764	2368	2114	2697	2133	2318	3667	2857
PAD	3996	3425	4210	3251	3014	3354	2073	1678	2193	1443	2128	2873	3020	2550	1631	1746	5301	676	461	542	689	363	266	0	2141	2131	1850	2340	2072	2629	2120	2283	3692	3003
LIN	4121	3495	4313	3312	2963	3498	2153	1280	1125	1279	1098	3026	3085	2852	2128	2064	5350	1556	1533	1609	1555	1398	1289	1318	0	269	478	575	448	681	424	391	3620	3064
MAS	4562	3852	4810	3994	3509	4105	2696	1743	1429	1813	1333	3648	3845	3524	3000	2816	5576	2625	2498	2468	2479	2488	2187	2188	439	0	263	264	204	354	185	185	4186	3591
RHO	4536	3820	4609	3777	3409	3967	2506	1604	1608	1606	1533	3548	3714	3309	2749	2569	5515	1681	1668	1743	1723	1273	1136	1236	541	248	0	11	22	14	52	140	3939	3337
TA	4712	4081	4757	4311	3615	4344	3112	1851	1629	2090	1576	3790	4260	3679	3790	3539	5793	2761	2678	2555	2641	2615	2235	2283	778	223	9	0	42	36	27	164	4458	3900
GAS-L	4879	4175	5029	4448	3821	4406	3194	1977	1791	2257	1736	4119	4296	3825	3940	3667	5794	3099	3098	3042	3084	2995	2775	2580	704	218	56	45	0	8	30	67	4692	4114
GM	4630	4154	4823	4076	3607	4299	3050	1865	1708	2179	1607	3968	4032	3749	3815	3485	5834	2636	2744	2664	2792	2505	2138	2249	784	258	28	46	9	0	16	74	4316	3812
PM	4887	4223	5060	4497	3741	4597	3290	2124	1723	2473	1635	4027	4505	3915	4170	3922	5860	3214	3226	3143	3138	3207	2945	2899	1121	258	197	89	72	31	0	112	4828	4286
SOL	4673	4000	4762	3950	3502	4113	2851	1857	1504	1955	1454	3756	3897	3489	3630	3327	5721	2446	2471	2398	2444	2317	2210	2212	672	220	136	124	81	172	50	0	4476	3784
PIEC	4966	4501	4458	4247	3904	4289	3628	3939	3921	4234	3916	4281	4401	4001	4575	4197	5673	3790	3856	3929	3983	4008	3930	4048	4131	3853	3793	3839	3765	3921	3744	3794	0	1211
PK15	4649	4102	4064	3765	3574	3786	2976	3534	3725	3818	3721	3566	3940	3454	3621	3632	5389	3267	3342	3518	3449	3471	3458	3565	3792	3562	3499	3606	3560	3687	3504	3640	749	0
