diff_num	tissue	gene_biotype	group_id
6741	BF	protein_coding	BF_hindlimb
6545	SUB	protein_coding	SUB_forelimb
5651	BB	protein_coding	BB_forelimb
7088	LIN	protein_coding	LIN_head
6796	ISP	protein_coding	ISP_forelimb
10090	Left_Ventricle	protein_coding	Left_Ventricle
6651	SSP	protein_coding	SSP_forelimb
8763	Left_Atrium	protein_coding	Left_Atrium
7138	VL	protein_coding	VL_hindlimb
7414	TIC	protein_coding	TIC_hindlimb
6432	PS	protein_coding	PS_trunk
6239	LD	protein_coding	LD_trunk
7498	SOL	protein_coding	SOL_hindlimb
6586	LDM	protein_coding	LDM_trunk
6763	RF	protein_coding	RF_hindlimb
7271	EDL-H	protein_coding	EDL-H_hindlimb
6934	DAP	protein_coding	DAP_forelimb
7021	RA	protein_coding	RA_trunk
7203	SAR	protein_coding	SAR_hindlimb
6904	EDL-F	protein_coding	EDL-F_forelimb
7116	PM	protein_coding	PM_hindlimb
7167	SM	protein_coding	SM_hindlimb
7396	TFL	protein_coding	TFL_hindlimb
6875	VI	protein_coding	VI_hindlimb
6122	TRC	protein_coding	TRC_trunk
10012	Right_Atrium	protein_coding	Right_Atrium
6329	TB-M	protein_coding	TB-M_forelimb
6163	PP	protein_coding	PP_trunk
6833	DSP	protein_coding	DSP_forelimb
6678	VM	protein_coding	VM_hindlimb
7239	TB-LO	protein_coding	TB-LO_forelimb
6486	FDP-F	protein_coding	FDP-F_forelimb
7054	GRA	protein_coding	GRA_hindlimb
5889	FDS-F	protein_coding	FDS-F_forelimb
7144	GM	protein_coding	GM_hindlimb
7249	FDP-H	protein_coding	FDP-H_hindlimb
6369	TB-LA	protein_coding	TB-LA_forelimb
6709	EDC	protein_coding	EDC_forelimb
6467	MAS	protein_coding	MAS_head
7806	GAS-M	protein_coding	GAS-M_hindlimb
6509	GAS-L	protein_coding	GAS-L_hindlimb
7054	SP	protein_coding	SP_trunk
7206	ADD	protein_coding	ADD_hindlimb
6217	ST	protein_coding	ST_hindlimb
6810	TM	protein_coding	TM_forelimb
6918	FDS-H	protein_coding	FDS-H_hindlimb
5916	RHO	protein_coding	RHO_trunk
9890	Right_Ventricle	protein_coding	Right_Ventricle
6995	OEA	protein_coding	OEA_trunk
6800	TA	protein_coding	TA_trunk
6406	BRA	protein_coding	BRA_trunk
